age_bin,count,date,new_cases,change_%
0-19,6,3/23/2020,0,0.0
20-29,17,3/23/2020,0,0.0
30-39,18,3/23/2020,0,0.0
40-49,19,3/23/2020,0,0.0
50-59,21,3/23/2020,0,0.0
60-69,12,3/23/2020,0,0.0
70-79,11,3/23/2020,0,0.0
80-89,0,3/23/2020,0,0.0
90+,2,3/23/2020,0,0.0
0-19,6,3/25/2020,0,0.0
20-29,22,3/25/2020,5,0.2941176470588236
30-39,24,3/25/2020,6,0.33333333333333326
40-49,24,3/25/2020,5,0.26315789473684204
50-59,28,3/25/2020,7,0.33333333333333326
60-69,15,3/25/2020,3,0.25
70-79,11,3/25/2020,0,0.0
80-89,0,3/25/2020,0,0.0
90+,2,3/25/2020,0,0.0
0-19,6,3/26/2020,0,0.0
20-29,28,3/26/2020,6,0.2727272727272727
30-39,30,3/26/2020,6,0.25
40-49,30,3/26/2020,6,0.25
50-59,38,3/26/2020,10,0.3571428571428572
60-69,19,3/26/2020,4,0.2666666666666666
70-79,12,3/26/2020,1,0.09090909090909083
80-89,0,3/26/2020,0,0.0
90+,2,3/26/2020,0,0.0
