date,new positive labs,total positive labs,new negative labs,total negative labs,total tested,new hospital admissions,cumulative hospital admissions,new hospital discharges,cumulative hospital discharges,hospital deaths,cumulative hospital deaths,currently hospitalized,icu,vented,deaths,total deaths,new people positive,total people positive,new people negative,total people negative,total people tested,date_scraped,new total labs,%_positive,new people tested,%_peopple_positive,date_ts
02/27/2020,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,0,,0.0,,737482
02/28/2020,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,0,,0.0,,737483
02/29/2020,1,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,1,1.0,0.0,,737484
03/01/2020,1,2,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,1,1.0,0.0,,737485
03/02/2020,0,2,1,1,3,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,1,0.0,0.0,,737486
03/03/2020,0,2,2,3,5,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,2,0.0,0.0,,737487
03/04/2020,0,2,4,7,9,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,4,0.0,0.0,,737488
03/05/2020,1,3,5,12,15,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,6,0.16666666666666666,0.0,,737489
03/06/2020,0,3,12,24,27,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,12,0.0,0.0,,737490
03/07/2020,0,3,13,37,40,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,13,0.0,0.0,,737491
03/08/2020,0,3,22,59,62,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,22,0.0,0.0,,737492
03/09/2020,2,5,12,71,76,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,14,0.14285714285714285,0.0,,737493
03/10/2020,0,5,18,89,94,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,18,0.0,0.0,,737494
03/11/2020,0,5,31,120,125,1.0,4.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,31,0.0,0.0,,737495
03/12/2020,9,14,42,162,176,1.0,5.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,51,0.17647058823529413,0.0,,737496
03/13/2020,6,20,49,211,231,4.0,9.0,1.0,1.0,0.0,0.0,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,55,0.10909090909090909,0.0,,737497
03/14/2020,0,20,86,297,317,0.0,9.0,0.0,1.0,0.0,0.0,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,86,0.0,0.0,,737498
03/15/2020,1,21,127,424,445,1.0,10.0,0.0,1.0,0.0,0.0,9.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,128,0.0078125,0.0,,737499
03/16/2020,2,23,67,491,514,2.0,12.0,0.0,1.0,0.0,0.0,11.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,69,0.028985507246376812,0.0,,737500
03/17/2020,10,33,126,617,650,6.0,18.0,0.0,1.0,0.0,0.0,17.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,136,0.07352941176470588,0.0,,737501
03/18/2020,11,44,130,747,791,3.0,21.0,0.0,1.0,0.0,0.0,20.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-05-10,141,0.07801418439716312,0.0,,737502
