"Notes"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Jan., 2018"	"2018/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	180	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	15	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	10	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	13	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	41	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasm of breast (C50)"	"GR113-029"	14	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	22	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Leukemia (C91-C95)"	"GR113-040"	12	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	24	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	22	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Parkinson disease (G20-G21)"	"GR113-051"	16	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Alzheimer disease (G30)"	"GR113-052"	63	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	294	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	224	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Hypertensive heart disease (I11)"	"GR113-056"	21	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	133	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	39	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	94	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	45	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	49	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other heart diseases (I26-I51)"	"GR113-064"	63	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Heart failure (I50)"	"GR113-067"	25	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	38	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	13	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	47	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	34	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Influenza (J09-J11)"	"GR113-077"	15	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Pneumonia (J12-J18)"	"GR113-078"	19	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	55	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	51	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	14	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	14	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Renal failure (N17-N19)"	"GR113-100"	13	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"All other diseases (Residual) "	"GR113-111"	155	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	58	Not Applicable	Not Applicable
