"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Jan., 1999"	"1999/01"	364	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	305	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	311	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	257	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	220	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	226	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	277	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	266	Not Applicable	Not Applicable
	"1999"	"1999"	"Sep., 1999"	"1999/09"	245	Not Applicable	Not Applicable
	"1999"	"1999"	"Oct., 1999"	"1999/10"	269	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	259	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	317	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			3316	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	352	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	314	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	286	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	246	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	276	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	273	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	266	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	286	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	276	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	310	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	303	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	303	Not Applicable	Not Applicable
"Total"	"2000"	"2000"			3491	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	374	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	285	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	307	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	315	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	338	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	275	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	251	Not Applicable	Not Applicable
	"2001"	"2001"	"Aug., 2001"	"2001/08"	308	Not Applicable	Not Applicable
	"2001"	"2001"	"Sep., 2001"	"2001/09"	275	Not Applicable	Not Applicable
	"2001"	"2001"	"Oct., 2001"	"2001/10"	286	Not Applicable	Not Applicable
	"2001"	"2001"	"Nov., 2001"	"2001/11"	304	Not Applicable	Not Applicable
	"2001"	"2001"	"Dec., 2001"	"2001/12"	303	Not Applicable	Not Applicable
"Total"	"2001"	"2001"			3621	Not Applicable	Not Applicable
	"2002"	"2002"	"Jan., 2002"	"2002/01"	374	Not Applicable	Not Applicable
	"2002"	"2002"	"Feb., 2002"	"2002/02"	322	Not Applicable	Not Applicable
	"2002"	"2002"	"Mar., 2002"	"2002/03"	332	Not Applicable	Not Applicable
	"2002"	"2002"	"Apr., 2002"	"2002/04"	276	Not Applicable	Not Applicable
	"2002"	"2002"	"May, 2002"	"2002/05"	289	Not Applicable	Not Applicable
	"2002"	"2002"	"Jun., 2002"	"2002/06"	262	Not Applicable	Not Applicable
	"2002"	"2002"	"Jul., 2002"	"2002/07"	294	Not Applicable	Not Applicable
	"2002"	"2002"	"Aug., 2002"	"2002/08"	288	Not Applicable	Not Applicable
	"2002"	"2002"	"Sep., 2002"	"2002/09"	270	Not Applicable	Not Applicable
	"2002"	"2002"	"Oct., 2002"	"2002/10"	269	Not Applicable	Not Applicable
	"2002"	"2002"	"Nov., 2002"	"2002/11"	294	Not Applicable	Not Applicable
	"2002"	"2002"	"Dec., 2002"	"2002/12"	406	Not Applicable	Not Applicable
"Total"	"2002"	"2002"			3676	Not Applicable	Not Applicable
	"2003"	"2003"	"Jan., 2003"	"2003/01"	344	Not Applicable	Not Applicable
	"2003"	"2003"	"Feb., 2003"	"2003/02"	282	Not Applicable	Not Applicable
	"2003"	"2003"	"Mar., 2003"	"2003/03"	307	Not Applicable	Not Applicable
	"2003"	"2003"	"Apr., 2003"	"2003/04"	272	Not Applicable	Not Applicable
	"2003"	"2003"	"May, 2003"	"2003/05"	303	Not Applicable	Not Applicable
	"2003"	"2003"	"Jun., 2003"	"2003/06"	264	Not Applicable	Not Applicable
	"2003"	"2003"	"Jul., 2003"	"2003/07"	276	Not Applicable	Not Applicable
	"2003"	"2003"	"Aug., 2003"	"2003/08"	289	Not Applicable	Not Applicable
	"2003"	"2003"	"Sep., 2003"	"2003/09"	294	Not Applicable	Not Applicable
	"2003"	"2003"	"Oct., 2003"	"2003/10"	296	Not Applicable	Not Applicable
	"2003"	"2003"	"Nov., 2003"	"2003/11"	284	Not Applicable	Not Applicable
	"2003"	"2003"	"Dec., 2003"	"2003/12"	344	Not Applicable	Not Applicable
"Total"	"2003"	"2003"			3555	Not Applicable	Not Applicable
	"2004"	"2004"	"Jan., 2004"	"2004/01"	379	Not Applicable	Not Applicable
	"2004"	"2004"	"Feb., 2004"	"2004/02"	324	Not Applicable	Not Applicable
	"2004"	"2004"	"Mar., 2004"	"2004/03"	319	Not Applicable	Not Applicable
	"2004"	"2004"	"Apr., 2004"	"2004/04"	272	Not Applicable	Not Applicable
	"2004"	"2004"	"May, 2004"	"2004/05"	277	Not Applicable	Not Applicable
	"2004"	"2004"	"Jun., 2004"	"2004/06"	252	Not Applicable	Not Applicable
	"2004"	"2004"	"Jul., 2004"	"2004/07"	270	Not Applicable	Not Applicable
	"2004"	"2004"	"Aug., 2004"	"2004/08"	248	Not Applicable	Not Applicable
	"2004"	"2004"	"Sep., 2004"	"2004/09"	259	Not Applicable	Not Applicable
	"2004"	"2004"	"Oct., 2004"	"2004/10"	286	Not Applicable	Not Applicable
	"2004"	"2004"	"Nov., 2004"	"2004/11"	276	Not Applicable	Not Applicable
	"2004"	"2004"	"Dec., 2004"	"2004/12"	307	Not Applicable	Not Applicable
"Total"	"2004"	"2004"			3469	Not Applicable	Not Applicable
	"2005"	"2005"	"Jan., 2005"	"2005/01"	405	Not Applicable	Not Applicable
	"2005"	"2005"	"Feb., 2005"	"2005/02"	374	Not Applicable	Not Applicable
	"2005"	"2005"	"Mar., 2005"	"2005/03"	319	Not Applicable	Not Applicable
	"2005"	"2005"	"Apr., 2005"	"2005/04"	319	Not Applicable	Not Applicable
	"2005"	"2005"	"May, 2005"	"2005/05"	279	Not Applicable	Not Applicable
	"2005"	"2005"	"Jun., 2005"	"2005/06"	272	Not Applicable	Not Applicable
	"2005"	"2005"	"Jul., 2005"	"2005/07"	261	Not Applicable	Not Applicable
	"2005"	"2005"	"Aug., 2005"	"2005/08"	262	Not Applicable	Not Applicable
	"2005"	"2005"	"Sep., 2005"	"2005/09"	257	Not Applicable	Not Applicable
	"2005"	"2005"	"Oct., 2005"	"2005/10"	284	Not Applicable	Not Applicable
	"2005"	"2005"	"Nov., 2005"	"2005/11"	298	Not Applicable	Not Applicable
	"2005"	"2005"	"Dec., 2005"	"2005/12"	300	Not Applicable	Not Applicable
"Total"	"2005"	"2005"			3630	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	227	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	214	Not Applicable	Not Applicable
	"2006"	"2006"	"Mar., 2006"	"2006/03"	300	Not Applicable	Not Applicable
	"2006"	"2006"	"Apr., 2006"	"2006/04"	252	Not Applicable	Not Applicable
	"2006"	"2006"	"May, 2006"	"2006/05"	224	Not Applicable	Not Applicable
	"2006"	"2006"	"Jun., 2006"	"2006/06"	228	Not Applicable	Not Applicable
	"2006"	"2006"	"Jul., 2006"	"2006/07"	199	Not Applicable	Not Applicable
	"2006"	"2006"	"Aug., 2006"	"2006/08"	242	Not Applicable	Not Applicable
	"2006"	"2006"	"Sep., 2006"	"2006/09"	266	Not Applicable	Not Applicable
	"2006"	"2006"	"Oct., 2006"	"2006/10"	272	Not Applicable	Not Applicable
	"2006"	"2006"	"Nov., 2006"	"2006/11"	247	Not Applicable	Not Applicable
	"2006"	"2006"	"Dec., 2006"	"2006/12"	265	Not Applicable	Not Applicable
"Total"	"2006"	"2006"			2936	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	312	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	290	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	266	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	260	Not Applicable	Not Applicable
	"2007"	"2007"	"May, 2007"	"2007/05"	279	Not Applicable	Not Applicable
	"2007"	"2007"	"Jun., 2007"	"2007/06"	254	Not Applicable	Not Applicable
	"2007"	"2007"	"Jul., 2007"	"2007/07"	235	Not Applicable	Not Applicable
	"2007"	"2007"	"Aug., 2007"	"2007/08"	251	Not Applicable	Not Applicable
	"2007"	"2007"	"Sep., 2007"	"2007/09"	201	Not Applicable	Not Applicable
	"2007"	"2007"	"Oct., 2007"	"2007/10"	220	Not Applicable	Not Applicable
	"2007"	"2007"	"Nov., 2007"	"2007/11"	262	Not Applicable	Not Applicable
	"2007"	"2007"	"Dec., 2007"	"2007/12"	266	Not Applicable	Not Applicable
