zip_code,population
2802,786
2804,2607
2806,16310
2807,1051
2808,2401
2809,22938
2812,1497
2813,7831
2814,7496
2815,278
2816,32611
2817,6135
2818,18082
2822,6111
2825,5377
2826,791
2827,2172
2828,7704
2830,5976
2831,3515
2832,4608
2833,784
2835,5405
2836,136
2837,3492
2838,3400
2839,1902
2840,23335
2841,1392
2842,16095
2852,22551
2857,8412
2858,570
2859,6738
2860,45199
2861,26164
2863,19385
2864,33396
2865,16951
2871,17171
2872,218
2873,235
2874,5860
2875,307
2876,430
2878,15780
2879,20371
2881,7841
2882,14184
2885,10627
2886,29269
2888,19912
2889,28217
2891,21198
2892,4988
2893,29630
2894,722
2895,41186
2896,11537
2898,1696
2903,10780
2904,29359
2905,25223
2906,28387
2907,27445
2908,37467
2909,43540
2910,21000
2911,15574
2912,1370
2914,21963
2915,16897
2916,8139
2917,13762
2919,28790
2920,37547
2921,12361
