age_bin,count,date
0-19,6,3/23/2020
20-29,17,3/23/2020
30-39,18,3/23/2020
40-49,19,3/23/2020
50-59,21,3/23/2020
60-69,12,3/23/2020
70-79,11,3/23/2020
80-89,0,3/23/2020
90+,2,3/23/2020
- 0-19,6,3/25/2020
- 20-29,22,3/25/2020
- 30-39,24,3/25/2020
- 40-49,24,3/25/2020
- 50-59,28,3/25/2020
- 60-69,15,3/25/2020
- 70-79,11,3/25/2020
- 80-89,0,3/25/2020
- 90+,2,3/25/2020
- 0-19,6,3/26/2020
- 20-29,28,3/26/2020
- 30-39,30,3/26/2020
- 40-49,30,3/26/2020
- 50-59,38,3/26/2020
- 60-69,19,3/26/2020
- 70-79,12,3/26/2020
- 80-89,0,3/26/2020
- 90+,2,3/26/2020
