city_town,count,hostpialized,deaths,fully_vaccinated,date
Barrington,fewer than 5,,,,2020-03-25
Bristol,fewer than 5,,,,2020-03-25
Burrillville,fewer than 5,,,,2020-03-25
Central Falls,fewer than 5,,,,2020-03-25
Coventry,fewer than 5,,,,2020-03-25
Cranston,11,,,,2020-03-25
Cumberland,fewer than 5,,,,2020-03-25
East Providence,8,,,,2020-03-25
Exeter,0,,,,2020-03-25
Foster,fewer than 5,,,,2020-03-25
Glocester,0,,,,2020-03-25
Hopkinton,0,,,,2020-03-25
Jamestown,fewer than 5,,,,2020-03-25
Johnston,fewer than 5,,,,2020-03-25
Lincoln,fewer than 5,,,,2020-03-25
Little Compton,0,,,,2020-03-25
Middletown,5,,,,2020-03-25
Narragansett,fewer than 5,,,,2020-03-25
New Shoreham,0,,,,2020-03-25
Newport,fewer than 5,,,,2020-03-25
North Kingstown,fewer than 5,,,,2020-03-25
North Providence,fewer than 5,,,,2020-03-25
North Smithfield,fewer than 5,,,,2020-03-25
Pawtucket,5,,,,2020-03-25
Portsmouth,fewer than 5,,,,2020-03-25
Providence,42,,,,2020-03-25
Richmond,0,,,,2020-03-25
Scituate,fewer than 5,,,,2020-03-25
Smithfield,fewer than 5,,,,2020-03-25
South Kingstown,7,,,,2020-03-25
Tiverton,0,,,,2020-03-25
Warren,fewer than 5,,,,2020-03-25
Warwick,7,,,,2020-03-25
West Greenwich,0,,,,2020-03-25
West Warwick,0,,,,2020-03-25
Westerly,fewer than 5,,,,2020-03-25
Woonsocket,fewer than 5,,,,2020-03-25
Barrington,fewer than 5,,,,2020-03-26
Bristol,fewer than 5,,,,2020-03-26
Burrillville,fewer than 5,,,,2020-03-26
Central Falls,fewer than 5,,,,2020-03-26
Coventry,fewer than 5,,,,2020-03-26
Cranston,18,,,,2020-03-26
Cumberland,5,,,,2020-03-26
East Providence,9,,,,2020-03-26
Exeter,0,,,,2020-03-26
Foster,fewer than 5,,,,2020-03-26
Glocester,0,,,,2020-03-26
Hopkinton,fewer than 5,,,,2020-03-26
Jamestown,fewer than 5,,,,2020-03-26
Johnston,6,,,,2020-03-26
Lincoln,fewer than 5,,,,2020-03-26
Little Compton,0,,,,2020-03-26
Middletown,6,,,,2020-03-26
Narragansett,fewer than 5,,,,2020-03-26
New Shoreham,0,,,,2020-03-26
Newport,5,,,,2020-03-26
North Kingstown,fewer than 5,,,,2020-03-26
North Providence,fewer than 5,,,,2020-03-26
North Smithfield,fewer than 5,,,,2020-03-26
Pawtucket,7,,,,2020-03-26
Portsmouth,fewer than 5,,,,2020-03-26
Providence,51,,,,2020-03-26
Richmond,0,,,,2020-03-26
Scituate,fewer than 5,,,,2020-03-26
Smithfield,fewer than 5,,,,2020-03-26
South Kingstown,7,,,,2020-03-26
Tiverton,0,,,,2020-03-26
Warren,fewer than 5,,,,2020-03-26
Warwick,8,,,,2020-03-26
West Greenwich,0,,,,2020-03-26
West Warwick,fewer than 5,,,,2020-03-26
Westerly,fewer than 5,,,,2020-03-26
Woonsocket,fewer than 5,,,,2020-03-26
Barrington,5,,,,2020-03-27
Bristol,<5,,,,2020-03-27
Burrillville,<5,,,,2020-03-27
Central Falls,<5,,,,2020-03-27
