hospital_pk,collection_week,state,ccn,hospital_name,address,city,zip,hospital_subtype,fips_code,is_metro_micro,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_sum,icu_patients_confirmed_influenza_7_day_sum,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum,total_beds_7_day_coverage,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_coverage,inpatient_beds_used_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_coverage,icu_beds_used_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_coverage,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_18_19_7_day_sum,previous_day_admission_adult_covid_confirmed_20_29_7_day_sum,previous_day_admission_adult_covid_confirmed_30_39_7_day_sum,previous_day_admission_adult_covid_confirmed_40_49_7_day_sum,previous_day_admission_adult_covid_confirmed_50,previous_day_admission_adult_covid_confirmed_60,previous_day_admission_adult_covid_confirmed_70,previous_day_admission_adult_covid_confirmed_80,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_covid_ed_visits_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_18,previous_day_admission_adult_covid_suspected_20,previous_day_admission_adult_covid_suspected_30,previous_day_admission_adult_covid_suspected_40,previous_day_admission_adult_covid_suspected_50,previous_day_admission_adult_covid_suspected_60,previous_day_admission_adult_covid_suspected_70_79_7_day_sum,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_total_ed_visits_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum,geocoded_hospital_address,hhs_ids,previous_day_admission_adult_covid_confirmed_7_day_coverage,previous_day_admission_pediatric_covid_confirmed_7_day_coverage,previous_day_admission_adult_covid_suspected_7_day_coverage,previous_day_admission_pediatric_covid_suspected_7_day_coverage,previous_week_personnel_covid_vaccinated_doses_administered_7_day,total_personnel_covid_vaccinated_doses_none_7_day,total_personnel_covid_vaccinated_doses_one_7_day,total_personnel_covid_vaccinated_doses_all_7_day,previous_week_patients_covid_vaccinated_doses_one_7_day,previous_week_patients_covid_vaccinated_doses_all_7_day,is_corrected
410008,2020-06-05,RI,410008,SOUTH COUNTY HOSPITAL INC,100 KENYON AVE,WAKEFIELD,2879,Short Term,44009,True,89.0,,,65.8,,,,,,89.0,8.0,,,,,,,,,534.0,,,395.0,,,,,,534.0,48.0,,,,,,,,,6,0,0,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-71.495882 41.431883),,0,0,0,0,,,,,,,False
410012,2020-04-24,RI,410012,THE MIRIAM HOSPITAL,164 SUMMIT AVENUE,PROVIDENCE,2906,Short Term,44007,True,242.2,,,192.8,,,,,,242.2,16.0,,,,,,,,,1453.0,,,1157.0,,,,,,1453.0,96.0,,,,,,,,,6,0,0,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-71.397562 41.851653),,0,0,0,0,,,,,,,False
410009,2020-05-22,RI,410009,KENT COUNTY MEMORIAL HOSPITAL,455 TOLL GATE RD,WARWICK,2886,Short Term,44003,True,165.6,,,153.6,,,,,,165.6,11.8,,,,,,,,,828.0,,,768.0,,,,,,828.0,59.0,,,,,,,,,5,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-71.477902 41.704478),,0,0,0,0,,,,,,,False
410004,2020-05-22,RI,410004,ROGER WILLIAMS MEDICAL CENTER,825 CHALKSTONE AVENUE,PROVIDENCE,2908,Short Term,44007,True,104.4,,,84.6,,,,,,104.4,9.4,,,,,,,,,731.0,,,592.0,,,,,,731.0,66.0,,,,,,,,,7,0,0,7,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-71.43458 41.834015),,0,0,0,0,,,,,,,False
410011,2021-06-04,RI,410011,LANDMARK MEDICAL CENTER,115 CASS AVENUE,WOONSOCKET,2895,Short Term,44007,True,114.0,113.7,88.0,79.9,79.9,,,0.0,0.0,88.0,8.9,8.9,8.6,8.6,0.0,0.0,0.0,0.0,0.0,798.0,796.0,616.0,559.0,559.0,12.0,12.0,0.0,0.0,616.0,62.0,62.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,0.0,POINT (-71.49621 42.00532),[C410011-A],7,7,7,7,,485.0,57.0,804.0,0.0,82.0,False
410009,2021-02-19,RI,410009,KENT COUNTY MEMORIAL HOSPITAL,455 TOLL GATE RD,WARWICK,2886,Short Term,44003,True,309.7,309.7,259.7,210.1,210.1,44.4,39.4,0.0,0.0,259.7,13.9,13.9,9.7,9.7,4.0,4.0,0.0,0.0,0.0,2168.0,2168.0,1818.0,1471.0,1471.0,311.0,276.0,0.0,0.0,1818.0,97.0,97.0,68.0,68.0,28.0,28.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,24.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,0.0,POINT (-71.477902 41.704478),"[C410009-A, C410009-B]",7,7,7,7,0.0,0.0,0.0,0.0,0.0,0.0,False
410005,2020-10-30,RI,410005,OUR LADY OF FATIMA HOSPITAL,200 HIGH SERVICE AVENUE,NORTH PROVIDENCE,2904,Short Term,44007,True,159.1,92.6,62.6,118.7,110.6,34.3,33.9,0.0,0.0,129.1,5.1,5.1,4.4,4.4,4.0,4.0,0.0,0.0,0.0,1114.0,648.0,438.0,831.0,774.0,240.0,237.0,0.0,0.0,904.0,36.0,36.0,31.0,31.0,17.0,17.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,6.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,0.0,POINT (-71.458498 41.855796),[C410005-A],7,7,7,7,,,,,,,False
410006,2021-09-10,RI,410006,NEWPORT HOSPITAL,11 FRIENDSHIP STREET,NEWPORT,2840,Short Term,44005,True,117.9,117.9,87.1,78.7,78.7,34.3,33.9,0.0,0.0,87.1,5.9,5.9,4.7,4.7,4.0,4.0,,,,825.0,825.0,610.0,551.0,551.0,14.0,14.0,0.0,0.0,610.0,41.0,41.0,33.0,33.0,8.0,8.0,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,,POINT (-71.306193 41.497809),[C410006-A],7,7,7,7,,,,,,,False
410012,2021-01-29,RI,410012,THE MIRIAM HOSPITAL,164 SUMMIT AVENUE,PROVIDENCE,2906,Short Term,44007,True,348.0,348.0,275.0,246.3,246.3,51.7,46.7,0.0,0.0,275.0,16.0,16.0,14.0,14.0,7.1,7.1,0.0,0.0,0.0,2436.0,2436.0,1925.0,1724.0,1724.0,362.0,327.0,0.0,0.0,1925.0,112.0,112.0,98.0,98.0,50.0,50.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.0,0.0,POINT (-71.397562 41.851653),[C410012-A],7,7,7,7,0.0,0.0,0.0,0.0,0.0,0.0,False
410007,2020-10-09,RI,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,2903,Short Term,44007,True,811.3,644.0,546.1,624.0,556.9,34.7,34.7,0.0,0.0,678.4,94.0,84.0,78.1,71.0,7.1,7.1,,,,5679.0,4508.0,3823.0,4368.0,3898.0,243.0,243.0,0.0,0.0,4749.0,658.0,588.0,547.0,497.0,20.0,20.0,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2114.0,,POINT (-71.407049 41.811956),[C410007-A],7,7,7,7,,,,,,,False
