date,Location,ShortName,LongName,Census2019,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2
2021-02-01,RI,RIA,Rhode Island,1059361,22565,17599,4892
2021-02-02,RI,RIA,Rhode Island,1059361,23339,18285,4975
2021-02-03,RI,RIA,Rhode Island,1059361,24125,18545,5501
2021-02-05,RI,RIA,Rhode Island,1059361,26556,19999,6452
2021-02-08,RI,RIA,Rhode Island,1059361,29171,22002,7062
2021-02-09,RI,RIA,Rhode Island,1059361,29539,22243,7188
2021-02-10,RI,RIA,Rhode Island,1059361,30524,22695,7712
2021-02-11,RI,RIA,Rhode Island,1059361,31935,23660,8154
2021-02-12,RI,RIA,Rhode Island,1059361,33109,24173,8813
2021-02-14,RI,RIA,Rhode Island,1059361,34591,24656,9812
2021-02-16,RI,RIA,Rhode Island,1059361,36369,25184,11047
2021-02-17,RI,RIA,Rhode Island,1059361,37430,25708,11581
2021-02-18,RI,RIA,Rhode Island,1059361,38346,26062,12136
