zip_code,count,date
02909,580,4/24/2020
02860,453,4/24/2020
02908,394,4/24/2020
02904,370,4/24/2020
02907,359,4/24/2020
02863,255,4/24/2020
02905,229,4/24/2020
02920,207,4/24/2020
02906,183,4/24/2020
02895,179,4/24/2020
02915,172,4/24/2020
02864,140,4/24/2020
02861,135,4/24/2020
02919,118,4/24/2020
02910,116,4/24/2020
02852,103,4/24/2020
02893,95,4/24/2020
02889,91,4/24/2020
02816,86,4/24/2020
02911,84,4/24/2020
02914,81,4/24/2020
02828,77,4/24/2020
02886,74,4/24/2020
02888,49,4/24/2020
02809,47,4/24/2020
02865,45,4/24/2020
02879,44,4/24/2020
02917,42,4/24/2020
02903,40,4/24/2020
02878,35,4/24/2020
02818,30,4/24/2020
02859,29,4/24/2020
02916,29,4/24/2020
02840,27,4/24/2020
02891,27,4/24/2020
02806,26,4/24/2020
02885,24,4/24/2020
02882,22,4/24/2020
02896,22,4/24/2020
02842,20,4/24/2020
02871,20,4/24/2020
02921,19,4/24/2020
02892,18,4/24/2020
02857,14,4/24/2020
02830,12,4/24/2020
02814,11,4/24/2020
02822,10,4/24/2020
02831,10,4/24/2020
02817,9,4/24/2020
02837,9,4/24/2020
02825,8,4/24/2020
02835,7,4/24/2020
02898,7,4/24/2020
02808,6,4/24/2020
02813,6,4/24/2020
02832,6,4/24/2020
02838,6,4/24/2020
02839,5,4/24/2020
02874,5,4/24/2020
02881,5,4/24/2020
02802,<5,4/24/2020
02804,<5,4/24/2020
02807,<5,4/24/2020
02812,<5,4/24/2020
02815,<5,4/24/2020
02824,<5,4/24/2020
02826,<5,4/24/2020
02827,<5,4/24/2020
02829,<5,4/24/2020
02833,<5,4/24/2020
02841,<5,4/24/2020
02862,<5,4/24/2020
02877,<5,4/24/2020
02894,<5,4/24/2020
02918,<5,4/24/2020
02872,0,4/24/2020
02873,0,4/24/2020
02875,0,4/24/2020
02912,0,4/24/2020
02802,0,2020-05-01
02804,0,2020-05-01
02806,33,2020-05-01
02807,0,2020-05-01
02808,12,2020-05-01
02809,69,2020-05-01
02812,5,2020-05-01
02813,12,2020-05-01
02814,17,2020-05-01
02815,0,2020-05-01
02816,97,2020-05-01
02817,14,2020-05-01
02818,43,2020-05-01
02822,21,2020-05-01
02825,10,2020-05-01
02826,0,2020-05-01
02827,5,2020-05-01
02828,104,2020-05-01
02830,14,2020-05-01
02831,10,2020-05-01
02832,9,2020-05-01
02833,0,2020-05-01
02835,8,2020-05-01
02836,0,2020-05-01
02837,9,2020-05-01
02838,7,2020-05-01
02839,6,2020-05-01
02840,35,2020-05-01
02841,0,2020-05-01
02842,27,2020-05-01
02852,125,2020-05-01
02857,15,2020-05-01
02858,0,2020-05-01
02859,48,2020-05-01
02860,643,2020-05-01
02861,197,2020-05-01
02863,429,2020-05-01
02864,184,2020-05-01
02865,80,2020-05-01
02871,22,2020-05-01
02872,0,2020-05-01
02873,0,2020-05-01
02874,5,2020-05-01
02875,0,2020-05-01
02876,0,2020-05-01
02878,49,2020-05-01
02879,55,2020-05-01
02881,0,2020-05-01
02882,28,2020-05-01
02885,33,2020-05-01
02886,95,2020-05-01
02888,69,2020-05-01
02889,142,2020-05-01
02891,35,2020-05-01
02892,19,2020-05-01
02893,143,2020-05-01
02894,0,2020-05-01
02895,291,2020-05-01
02896,35,2020-05-01
02898,10,2020-05-01
02903,61,2020-05-01
02904,518,2020-05-01
02905,306,2020-05-01
02906,218,2020-05-01
02907,527,2020-05-01
02908,668,2020-05-01
02909,868,2020-05-01
02910,142,2020-05-01
02911,114,2020-05-01
02912,0,2020-05-01
02914,128,2020-05-01
02915,194,2020-05-01
02916,34,2020-05-01
02917,59,2020-05-01
02919,156,2020-05-01
02920,273,2020-05-01
02921,28,2020-05-01
02802,0,2020-05-02
02804,0,2020-05-02
02806,33,2020-05-02
02807,0,2020-05-02
02808,12,2020-05-02
02809,69,2020-05-02
02812,5,2020-05-02
02813,12,2020-05-02
02814,17,2020-05-02
02815,0,2020-05-02
02816,98,2020-05-02
02817,13,2020-05-02
02818,46,2020-05-02
02822,21,2020-05-02
02825,10,2020-05-02
02826,0,2020-05-02
02827,5,2020-05-02
02828,106,2020-05-02
02830,14,2020-05-02
02831,10,2020-05-02
02832,9,2020-05-02
02833,0,2020-05-02
02835,8,2020-05-02
02836,0,2020-05-02
02837,9,2020-05-02
02838,7,2020-05-02
02839,8,2020-05-02
02840,36,2020-05-02
02841,0,2020-05-02
02842,27,2020-05-02
02852,127,2020-05-02
02857,16,2020-05-02
02858,0,2020-05-02
02859,48,2020-05-02
02860,669,2020-05-02
02861,211,2020-05-02
02863,449,2020-05-02
02864,191,2020-05-02
02865,80,2020-05-02
02871,22,2020-05-02
02872,0,2020-05-02
02873,0,2020-05-02
02874,5,2020-05-02
02875,0,2020-05-02
02876,0,2020-05-02
02878,49,2020-05-02
02879,56,2020-05-02
02881,0,2020-05-02
02882,28,2020-05-02
02885,35,2020-05-02
02886,107,2020-05-02
02888,71,2020-05-02
02889,155,2020-05-02
02891,36,2020-05-02
02892,21,2020-05-02
02893,148,2020-05-02
02894,0,2020-05-02
02895,303,2020-05-02
02896,38,2020-05-02
02898,10,2020-05-02
02903,65,2020-05-02
02904,530,2020-05-02
02905,317,2020-05-02
02906,221,2020-05-02
02907,545,2020-05-02
02908,696,2020-05-02
02909,913,2020-05-02
02910,147,2020-05-02
02911,118,2020-05-02
02912,0,2020-05-02
02914,138,2020-05-02
02915,195,2020-05-02
02916,34,2020-05-02
02917,60,2020-05-02
02919,158,2020-05-02
02920,280,2020-05-02
02921,30,2020-05-02
02802,0,2020-05-03
02804,0,2020-05-03
02806,33,2020-05-03
02807,0,2020-05-03
02808,12,2020-05-03
02809,76,2020-05-03
02812,5,2020-05-03
02813,13,2020-05-03
02814,17,2020-05-03
02815,0,2020-05-03
02816,99,2020-05-03
02817,14,2020-05-03
02818,46,2020-05-03
02822,21,2020-05-03
02825,10,2020-05-03
02826,0,2020-05-03
02827,5,2020-05-03
02828,109,2020-05-03
02830,14,2020-05-03
02831,11,2020-05-03
02832,9,2020-05-03
02833,0,2020-05-03
02835,8,2020-05-03
02836,0,2020-05-03
02837,9,2020-05-03
02838,7,2020-05-03
02839,8,2020-05-03
02840,37,2020-05-03
02841,0,2020-05-03
02842,28,2020-05-03
02852,129,2020-05-03
02857,16,2020-05-03
02858,0,2020-05-03
02859,48,2020-05-03
02860,685,2020-05-03
02861,218,2020-05-03
02863,467,2020-05-03
02864,195,2020-05-03
02865,82,2020-05-03
02871,22,2020-05-03
02872,0,2020-05-03
02873,0,2020-05-03
02874,5,2020-05-03
02875,0,2020-05-03
02876,0,2020-05-03
02878,49,2020-05-03
02879,58,2020-05-03
02881,0,2020-05-03
02882,28,2020-05-03
02885,36,2020-05-03
02886,112,2020-05-03
02888,74,2020-05-03
02889,164,2020-05-03
02891,36,2020-05-03
02892,21,2020-05-03
02893,151,2020-05-03
02894,0,2020-05-03
02895,313,2020-05-03
02896,41,2020-05-03
02898,10,2020-05-03
02903,68,2020-05-03
02904,541,2020-05-03
02905,328,2020-05-03
02906,220,2020-05-03
02907,565,2020-05-03
02908,716,2020-05-03
02909,947,2020-05-03
02910,150,2020-05-03
02911,124,2020-05-03
02912,0,2020-05-03
02914,152,2020-05-03
02915,199,2020-05-03
02916,35,2020-05-03
02917,61,2020-05-03
02919,163,2020-05-03
02920,288,2020-05-03
02921,30,2020-05-03
02802,0,2020-05-04
02804,0,2020-05-04
02806,34,2020-05-04
02807,0,2020-05-04
02808,12,2020-05-04
02809,77,2020-05-04
02812,5,2020-05-04
02813,13,2020-05-04
02814,17,2020-05-04
02815,0,2020-05-04
02816,100,2020-05-04
02817,14,2020-05-04
02818,46,2020-05-04
02822,22,2020-05-04
02825,10,2020-05-04
02826,0,2020-05-04
02827,5,2020-05-04
02828,109,2020-05-04
02830,14,2020-05-04
02831,11,2020-05-04
02832,10,2020-05-04
02833,0,2020-05-04
02835,8,2020-05-04
02836,0,2020-05-04
02837,9,2020-05-04
02838,7,2020-05-04
02839,8,2020-05-04
02840,38,2020-05-04
02841,0,2020-05-04
02842,29,2020-05-04
02852,133,2020-05-04
02857,16,2020-05-04
02858,0,2020-05-04
02859,48,2020-05-04
02860,701,2020-05-04
02861,218,2020-05-04
02863,480,2020-05-04
02864,195,2020-05-04
02865,86,2020-05-04
02871,22,2020-05-04
02872,0,2020-05-04
02873,0,2020-05-04
02874,5,2020-05-04
02875,0,2020-05-04
02876,0,2020-05-04
02878,49,2020-05-04
02879,58,2020-05-04
02881,0,2020-05-04
02882,28,2020-05-04
02885,36,2020-05-04
02886,112,2020-05-04
02888,75,2020-05-04
02889,166,2020-05-04
02891,36,2020-05-04
02892,21,2020-05-04
02893,153,2020-05-04
02894,0,2020-05-04
02895,318,2020-05-04
02896,41,2020-05-04
02898,11,2020-05-04
02903,69,2020-05-04
02904,544,2020-05-04
02905,334,2020-05-04
02906,221,2020-05-04
02907,571,2020-05-04
02908,727,2020-05-04
02909,964,2020-05-04
02910,151,2020-05-04
02911,126,2020-05-04
02912,0,2020-05-04
02914,153,2020-05-04
02915,203,2020-05-04
02916,35,2020-05-04
02917,61,2020-05-04
02919,164,2020-05-04
02920,298,2020-05-04
02921,30,2020-05-04
