date,first_date_scraped,first_reported_deaths,date_scraped,current_deaths,diff
2020-02-27,2020-05-10,0,2021-03-25,0,0
2020-02-28,2020-05-10,0,2021-03-25,0,0
2020-02-29,2020-05-10,0,2021-03-25,0,0
2020-03-01,2020-05-10,0,2021-03-25,0,0
2020-03-02,2020-05-10,0,2021-03-25,0,0
2020-03-03,2020-05-10,0,2021-03-25,0,0
2020-03-04,2020-05-10,0,2021-03-25,0,0
2020-03-05,2020-05-10,0,2021-03-25,0,0
2020-03-06,2020-05-10,0,2021-03-25,0,0
2020-03-07,2020-05-10,0,2021-03-25,0,0
2020-03-08,2020-05-10,0,2021-03-25,0,0
2020-03-09,2020-05-10,0,2021-03-25,0,0
2020-03-10,2020-05-10,0,2021-03-25,0,0
2020-03-11,2020-05-10,0,2021-03-25,0,0
2020-03-12,2020-05-10,0,2021-03-25,0,0
2020-03-13,2020-05-10,0,2021-03-25,0,0
2020-03-14,2020-05-10,0,2021-03-25,0,0
2020-03-15,2020-05-10,0,2021-03-25,0,0
2020-03-16,2020-05-10,0,2021-03-25,0,0
2020-03-17,2020-05-10,0,2021-03-25,0,0
2020-03-18,2020-05-10,0,2021-03-25,0,0
2020-03-19,2020-05-10,1,2021-03-25,1,0
2020-03-20,2020-05-10,0,2021-03-25,0,0
2020-03-21,2020-05-10,0,2021-03-25,0,0
2020-03-22,2020-05-10,0,2021-03-25,0,0
2020-03-23,2020-05-10,0,2021-03-25,0,0
2020-03-24,2020-05-10,0,2021-03-25,0,0
2020-03-25,2020-05-10,0,2021-03-25,0,0
2020-03-26,2020-05-10,0,2021-03-25,0,0
2020-03-27,2020-05-10,2,2021-03-25,2,0
2020-03-28,2020-05-10,1,2021-03-25,1,0
2020-03-29,2020-05-10,2,2021-03-25,2,0
2020-03-30,2020-05-10,3,2021-03-25,3,0
2020-03-31,2020-05-10,2,2021-03-25,2,0
2020-04-01,2020-05-10,1,2021-03-25,1,0
2020-04-02,2020-05-10,4,2021-03-25,4,0
2020-04-03,2020-05-10,3,2021-03-25,3,0
2020-04-04,2020-05-10,9,2021-03-25,9,0
2020-04-05,2020-05-10,2,2021-03-25,2,0
2020-04-06,2020-05-10,5,2021-03-25,7,2
2020-04-07,2020-05-10,5,2021-03-25,5,0
2020-04-08,2020-05-10,7,2021-03-25,10,3
2020-04-09,2020-05-10,6,2021-03-25,7,1
2020-04-10,2020-05-10,10,2021-03-25,11,1
2020-04-11,2020-05-10,11,2021-03-25,12,1
2020-04-12,2020-05-10,10,2021-03-25,9,-1
2020-04-13,2020-05-10,9,2021-03-25,9,0
2020-04-14,2020-05-10,7,2021-03-25,8,1
2020-04-15,2020-05-10,17,2021-03-25,17,0
2020-04-16,2020-05-10,13,2021-03-25,14,1
2020-04-17,2020-05-10,21,2021-03-25,21,0
2020-04-18,2020-05-10,14,2021-03-25,15,1
2020-04-19,2020-05-10,11,2021-03-25,11,0
2020-04-20,2020-05-10,11,2021-03-25,10,-1
2020-04-21,2020-05-10,15,2021-03-25,18,3
2020-04-22,2020-05-10,13,2021-03-25,18,5
2020-04-23,2020-05-10,12,2021-03-25,15,3
2020-04-24,2020-05-10,9,2021-03-25,15,6
2020-04-25,2020-05-10,11,2021-03-25,14,3
2020-04-26,2020-05-10,9,2021-03-25,14,5
2020-04-27,2020-05-10,8,2021-03-25,10,2
2020-04-28,2020-05-10,16,2021-03-25,22,6
2020-04-29,2020-05-10,9,2021-03-25,18,9
2020-04-30,2020-05-10,17,2021-03-25,24,7
2020-05-01,2020-05-10,6,2021-03-25,14,8
2020-05-02,2020-05-10,22,2021-03-25,24,2
2020-05-03,2020-05-10,16,2021-03-25,21,5
2020-05-04,2020-05-10,16,2021-03-25,18,2
2020-05-05,2020-05-10,15,2021-03-25,16,1
2020-05-06,2020-05-10,15,2021-03-25,21,6
2020-05-07,2020-05-10,13,2021-03-25,21,8
2020-05-08,2020-05-10,9,2021-03-25,22,13
2020-05-09,2020-05-10,4,2021-03-25,15,11
2020-05-10,2020-05-17,9,2021-03-25,14,5
2020-05-11,2020-05-17,10,2021-03-25,15,5
2020-05-12,2020-05-17,16,2021-03-25,22,6
2020-05-13,2020-05-17,6,2021-03-25,13,7
2020-05-14,2020-05-17,9,2021-03-25,15,6
2020-05-15,2020-05-17,10,2021-03-25,14,4
2020-05-16,2020-05-17,3,2021-03-25,15,12
2020-05-17,2020-05-21,8,2021-03-25,10,2
2020-05-18,2020-05-21,17,2021-03-25,18,1
2020-05-19,2020-05-21,6,2021-03-25,11,5
2020-05-20,2020-05-21,9,2021-03-25,22,13
2020-05-21,2020-05-30,19,2021-03-25,20,1
2020-05-22,2020-05-30,7,2021-03-25,11,4
2020-05-23,2020-05-30,10,2021-03-25,13,3
2020-05-24,2020-05-30,8,2021-03-25,8,0
2020-05-25,2020-05-30,8,2021-03-25,10,2
2020-05-26,2020-05-30,15,2021-03-25,15,0
2020-05-27,2020-05-30,9,2021-03-25,10,1
2020-05-28,2020-05-30,6,2021-03-25,8,2
2020-05-29,2020-05-30,8,2021-03-25,12,4
2020-05-30,2020-06-09,9,2021-03-25,12,3
2020-05-31,2020-06-09,3,2021-03-25,3,0
2020-06-01,2020-06-09,3,2021-03-25,5,2
2020-06-02,2020-06-09,10,2021-03-25,10,0
2020-06-03,2020-06-09,10,2021-03-25,11,1
2020-06-04,2020-06-09,10,2021-03-25,12,2
2020-06-05,2020-06-09,5,2021-03-25,11,6
2020-06-06,2020-06-09,4,2021-03-25,6,2
2020-06-07,2020-06-09,4,2021-03-25,4,0
2020-06-08,2020-06-09,2,2021-03-25,4,2
2020-06-09,2020-06-12,0,2021-03-25,1,1
2020-06-10,2020-06-14,3,2021-03-25,4,1
2020-06-11,2020-06-14,3,2021-03-25,6,3
2020-06-12,2020-06-15,2,2021-03-25,2,0
2020-06-13,2020-06-15,1,2021-03-25,3,2
2020-06-14,2020-06-15,0,2021-03-25,3,3
2020-06-15,2020-06-16,2,2021-03-25,5,3
2020-06-16,2020-06-17,4,2021-03-25,8,4
2020-06-17,2020-06-18,2,2021-03-25,6,4
2020-06-18,2020-06-19,6,2021-03-25,7,1
2020-06-19,2020-06-22,2,2021-03-25,3,1
2020-06-20,2020-06-22,3,2021-03-25,4,1
2020-06-21,2020-06-22,2,2021-03-25,2,0
2020-06-22,2020-06-23,1,2021-03-25,2,1
2020-06-23,2020-06-24,1,2021-03-25,7,6
2020-06-24,2020-06-25,1,2021-03-25,5,4
2020-06-25,2020-06-26,0,2021-03-25,1,1
2020-06-26,2020-06-29,1,2021-03-25,1,0
2020-06-27,2020-06-29,4,2021-03-25,5,1
2020-06-28,2020-06-29,0,2021-03-25,6,6
2020-06-29,2020-06-30,0,2021-03-25,1,1
2020-06-30,2020-07-01,0,2021-03-25,5,5
2020-07-01,2020-07-02,0,2021-03-25,1,1
2020-07-02,2020-07-03,0,2021-03-25,3,3
2020-07-03,2020-07-07,3,2021-03-25,3,0
2020-07-04,2020-07-07,1,2021-03-25,2,1
2020-07-05,2020-07-07,2,2021-03-25,2,0
