week_ending,residents_weekly_admissions_covid_19,residents_total_admissions_covid_19,residents_weekly_all_deaths,residents_total_all_deaths,residents_weekly_covid_19_deaths,residents_total_covid_19_deaths,residents_weekly_confirmed_covid_19,residents_total_confirmed_covid_19,staff_weekly_confirmed_covid_19,staff_total_confirmed_covid_19,staff_weekly_covid_19_deaths,staff_total_covid_19_deaths
2020-05-24,173.0,173.0,534.0,534.0,303.0,303.0,1197.0,1197.0,607.0,607.0,2.0,2.0
2020-05-31,37.0,210.0,111.0,645.0,73.0,376.0,91.0,1288.0,47.0,654.0,0.0,2.0
2020-06-07,58.0,268.0,64.0,709.0,39.0,415.0,115.0,1403.0,61.0,715.0,3.0,5.0
2020-06-14,41.0,309.0,58.0,767.0,17.0,432.0,61.0,1464.0,24.0,739.0,0.0,5.0
2020-06-21,29.0,338.0,39.0,806.0,21.0,453.0,68.0,1532.0,24.0,763.0,0.0,5.0
2020-06-28,34.0,372.0,53.0,859.0,13.0,466.0,23.0,1555.0,20.0,783.0,1.0,6.0
2020-07-05,37.0,409.0,35.0,894.0,11.0,477.0,12.0,1567.0,17.0,800.0,1.0,7.0
2020-07-12,27.0,436.0,25.0,919.0,8.0,485.0,0.0,1567.0,31.0,831.0,0.0,7.0
2020-07-19,31.0,467.0,24.0,943.0,7.0,492.0,8.0,1575.0,39.0,870.0,0.0,7.0
2020-07-26,20.0,487.0,22.0,965.0,4.0,496.0,30.0,1605.0,21.0,891.0,0.0,7.0
2020-08-02,16.0,503.0,30.0,995.0,2.0,498.0,17.0,1622.0,28.0,919.0,0.0,7.0
2020-08-09,14.0,517.0,22.0,1017.0,3.0,501.0,15.0,1637.0,18.0,937.0,0.0,7.0
2020-08-16,4.0,521.0,38.0,1055.0,4.0,505.0,22.0,1659.0,18.0,955.0,0.0,7.0
2020-08-23,14.0,532.0,32.0,1079.0,4.0,502.0,21.0,1651.0,32.0,971.0,0.0,7.0
2020-08-30,6.0,538.0,31.0,1110.0,4.0,506.0,40.0,1691.0,37.0,1008.0,0.0,7.0
2020-09-06,12.0,550.0,31.0,1141.0,4.0,510.0,19.0,1710.0,19.0,1027.0,0.0,7.0
2020-09-13,15.0,565.0,38.0,1179.0,3.0,513.0,43.0,1753.0,25.0,1052.0,0.0,7.0
2020-09-20,25.0,590.0,22.0,1201.0,1.0,514.0,41.0,1794.0,28.0,1080.0,0.0,7.0
2020-09-27,25.0,615.0,34.0,1235.0,8.0,522.0,66.0,1860.0,30.0,1110.0,0.0,7.0
2020-10-04,24.0,639.0,33.0,1268.0,4.0,526.0,43.0,1903.0,22.0,1132.0,0.0,7.0
2020-10-11,11.0,650.0,28.0,1296.0,7.0,533.0,26.0,1929.0,24.0,1156.0,0.0,7.0
2020-10-18,8.0,658.0,40.0,1336.0,14.0,547.0,21.0,1950.0,22.0,1178.0,0.0,7.0
2020-10-25,12.0,670.0,44.0,1380.0,6.0,553.0,16.0,1966.0,28.0,1206.0,0.0,7.0
2020-11-01,8.0,678.0,27.0,1407.0,5.0,558.0,45.0,2011.0,53.0,1259.0,0.0,7.0
2020-11-08,14.0,692.0,39.0,1446.0,8.0,566.0,125.0,2136.0,84.0,1343.0,2.0,9.0
2020-11-15,23.0,715.0,44.0,1490.0,12.0,578.0,154.0,2290.0,161.0,1504.0,1.0,10.0
2020-11-22,29.0,744.0,63.0,1553.0,25.0,603.0,151.0,2441.0,145.0,1649.0,0.0,10.0
2020-11-29,28.0,772.0,53.0,1606.0,31.0,634.0,156.0,2597.0,165.0,1814.0,0.0,10.0
2020-12-06,42.0,814.0,69.0,1675.0,28.0,662.0,290.0,2887.0,251.0,2065.0,0.0,10.0
2020-12-13,58.0,872.0,107.0,1782.0,66.0,728.0,220.0,3107.0,190.0,2255.0,0.0,10.0
2020-12-20,80.0,952.0,84.0,1866.0,57.0,785.0,216.0,3323.0,126.0,2381.0,0.0,10.0
2020-12-27,72.0,1024.0,74.0,1940.0,40.0,825.0,221.0,3544.0,159.0,2540.0,0.0,10.0
2021-01-03,67.0,1091.0,51.0,1991.0,22.0,847.0,136.0,3680.0,139.0,2679.0,0.0,10.0
2021-01-10,66.0,1157.0,73.0,2064.0,27.0,874.0,132.0,3812.0,176.0,2855.0,0.0,10.0
2021-01-17,62.0,1219.0,69.0,2133.0,30.0,904.0,117.0,3929.0,124.0,2979.0,0.0,10.0
2021-01-24,56.0,1275.0,52.0,2185.0,24.0,928.0,145.0,4074.0,105.0,3084.0,0.0,10.0
2021-01-31,38.0,1313.0,44.0,2229.0,15.0,943.0,56.0,4130.0,52.0,3136.0,0.0,10.0
2021-02-07,43.0,1356.0,49.0,2278.0,17.0,960.0,58.0,4188.0,30.0,3166.0,0.0,10.0
2021-02-14,35.0,1391.0,47.0,2325.0,11.0,971.0,44.0,4232.0,33.0,3199.0,0.0,10.0
2021-02-21,38.0,1429.0,36.0,2361.0,11.0,982.0,13.0,4245.0,19.0,3218.0,0.0,10.0
2021-02-28,47.0,1476.0,37.0,2398.0,5.0,987.0,14.0,4259.0,21.0,3239.0,0.0,10.0
2021-03-07,39.0,1515.0,36.0,2434.0,2.0,989.0,13.0,4272.0,27.0,3266.0,0.0,10.0
2021-03-14,21.0,1536.0,44.0,2478.0,2.0,991.0,23.0,4295.0,20.0,3286.0,0.0,10.0
2021-03-21,19.0,1554.0,37.0,2510.0,1.0,991.0,11.0,4291.0,17.0,3289.0,0.0,10.0
2021-03-28,26.0,1580.0,24.0,2534.0,0.0,991.0,13.0,4304.0,20.0,3309.0,0.0,10.0
2021-04-04,19.0,1599.0,26.0,2560.0,0.0,991.0,3.0,4307.0,12.0,3321.0,0.0,10.0
2021-04-11,8.0,1607.0,28.0,2588.0,0.0,991.0,3.0,4310.0,16.0,3337.0,0.0,10.0
2021-04-18,3.0,1610.0,33.0,2621.0,1.0,992.0,7.0,4317.0,23.0,3360.0,0.0,10.0
2021-04-25,6.0,1616.0,27.0,2648.0,0.0,992.0,10.0,4327.0,14.0,3374.0,0.0,10.0
2021-05-02,13.0,1629.0,27.0,2675.0,0.0,992.0,17.0,4344.0,14.0,3388.0,0.0,10.0
2021-05-09,19.0,1648.0,27.0,2702.0,0.0,992.0,10.0,4354.0,13.0,3401.0,0.0,10.0
2021-05-16,4.0,1652.0,21.0,2723.0,0.0,992.0,2.0,4356.0,3.0,3404.0,0.0,10.0
2021-05-23,2.0,1654.0,34.0,2757.0,0.0,992.0,0.0,4356.0,5.0,3409.0,0.0,10.0
2021-05-30,5.0,1659.0,54.0,2811.0,1.0,993.0,2.0,4358.0,3.0,3412.0,0.0,10.0
2021-06-06,5.0,1664.0,24.0,2835.0,0.0,993.0,1.0,4359.0,3.0,3415.0,0.0,10.0
2021-06-13,5.0,1669.0,24.0,2859.0,0.0,993.0,2.0,4361.0,2.0,3417.0,0.0,10.0
2021-06-20,6.0,1675.0,24.0,2883.0,0.0,993.0,1.0,4362.0,2.0,3419.0,0.0,10.0
2021-06-27,7.0,1411.0,30.0,2838.0,1.0,962.0,0.0,4288.0,1.0,3338.0,0.0,9.0
2021-07-04,5.0,1416.0,25.0,2863.0,0.0,962.0,0.0,4288.0,0.0,3338.0,0.0,9.0
2021-07-11,5.0,1421.0,22.0,2885.0,0.0,962.0,0.0,4288.0,4.0,3342.0,0.0,9.0
2021-07-18,1.0,1422.0,29.0,2914.0,0.0,962.0,1.0,4289.0,3.0,3345.0,0.0,9.0
2021-07-25,1.0,1423.0,26.0,2940.0,0.0,962.0,1.0,4290.0,3.0,3348.0,0.0,9.0
2021-08-01,3.0,1426.0,28.0,2968.0,0.0,962.0,1.0,4291.0,6.0,3354.0,0.0,9.0
2021-08-08,1.0,1427.0,35.0,3003.0,0.0,962.0,4.0,4295.0,17.0,3371.0,0.0,9.0
2021-08-15,13.0,1440.0,32.0,3035.0,0.0,962.0,8.0,4303.0,8.0,3379.0,0.0,9.0
2021-08-22,2.0,1442.0,46.0,3081.0,1.0,963.0,9.0,4312.0,18.0,3397.0,0.0,9.0
2021-08-29,3.0,1445.0,31.0,3112.0,0.0,963.0,16.0,4328.0,16.0,3413.0,0.0,9.0
2021-09-05,0.0,1445.0,32.0,3144.0,0.0,963.0,16.0,4344.0,30.0,3443.0,0.0,9.0
2021-09-12,5.0,1450.0,19.0,3163.0,2.0,965.0,20.0,4364.0,16.0,3459.0,1.0,10.0
