week_ending,one_week_supply_of_n95_masks,one_week_supply_of_surgical,one_week_supply_of_eye,one_week_supply_of_gowns,one_week_supply_of_gloves,one_week_supply_of_hand,total_providers_reporting,total_shortage,%_lacking_1week_n95_masks,%_lacking_1week_surgical,%_lacking_1week_eye,%_lacking_1week_gowns,%_lacking_1week_gloves,%_lacking_1week_hand,change_n95_masks,change_surgical,change_eye,change_gowns,change_gloves,change_hand
2020-05-24,8,0,1,14,2,0,78,103,0.10256410256410256,0.0,0.01282051282051282,0.1794871794871795,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,10,1,1,13,2,1,78,106,0.1282051282051282,0.01282051282051282,0.01282051282051282,0.16666666666666666,0.02564102564102564,0.01282051282051282,2.0,1.0,0.0,-1.0,0.0,1.0
2020-06-07,9,2,2,14,3,0,79,109,0.11392405063291139,0.02531645569620253,0.02531645569620253,0.17721518987341772,0.0379746835443038,0.0,-1.0,1.0,1.0,1.0,1.0,-1.0
2020-06-14,10,2,3,11,2,2,80,110,0.125,0.025,0.0375,0.1375,0.025,0.025,1.0,0.0,1.0,-3.0,-1.0,2.0
2020-06-21,9,2,2,12,2,1,80,108,0.1125,0.025,0.025,0.15,0.025,0.0125,-1.0,0.0,-1.0,1.0,0.0,-1.0
2020-06-28,9,0,2,10,0,1,79,101,0.11392405063291139,0.0,0.02531645569620253,0.12658227848101267,0.0,0.012658227848101266,0.0,-2.0,0.0,-2.0,-2.0,0.0
2020-07-05,7,0,1,9,1,1,80,99,0.0875,0.0,0.0125,0.1125,0.0125,0.0125,-2.0,0.0,-1.0,-1.0,1.0,0.0
2020-07-12,7,1,2,10,1,2,80,103,0.0875,0.0125,0.025,0.125,0.0125,0.025,0.0,1.0,1.0,1.0,0.0,1.0
2020-07-19,11,8,10,12,1,1,79,122,0.13924050632911392,0.10126582278481013,0.12658227848101267,0.1518987341772152,0.012658227848101266,0.012658227848101266,4.0,7.0,8.0,2.0,0.0,-1.0
2020-07-26,11,8,9,11,1,1,80,121,0.1375,0.1,0.1125,0.1375,0.0125,0.0125,0.0,0.0,-1.0,-1.0,0.0,0.0
2020-08-02,13,9,9,12,1,1,80,125,0.1625,0.1125,0.1125,0.15,0.0125,0.0125,2.0,1.0,0.0,1.0,0.0,0.0
2020-08-09,14,12,10,13,4,3,80,136,0.175,0.15,0.125,0.1625,0.05,0.0375,1.0,3.0,1.0,1.0,3.0,2.0
2020-08-16,14,10,10,11,3,2,80,130,0.175,0.125,0.125,0.1375,0.0375,0.025,0.0,-2.0,0.0,-2.0,-1.0,-1.0
2020-08-23,13,9,8,10,1,1,78,120,0.16666666666666666,0.11538461538461539,0.10256410256410256,0.1282051282051282,0.01282051282051282,0.01282051282051282,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0
2020-08-30,11,9,9,10,1,4,79,123,0.13924050632911392,0.11392405063291139,0.11392405063291139,0.12658227848101267,0.012658227848101266,0.05063291139240506,-2.0,0.0,1.0,0.0,0.0,3.0
2020-09-06,11,9,9,10,0,0,79,118,0.13924050632911392,0.11392405063291139,0.11392405063291139,0.12658227848101267,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.0
2020-09-13,13,10,12,11,2,1,79,128,0.16455696202531644,0.12658227848101267,0.1518987341772152,0.13924050632911392,0.02531645569620253,0.012658227848101266,2.0,1.0,3.0,1.0,2.0,1.0
2020-09-20,10,11,10,9,1,0,79,120,0.12658227848101267,0.13924050632911392,0.12658227848101267,0.11392405063291139,0.012658227848101266,0.0,-3.0,1.0,-2.0,-2.0,-1.0,-1.0
