provider_name,week_ending,all_residents,residents_fully_vac,residents_part_vac,recent_pct_fully_vac,pct_fully_vac,pct_part_vac,not_vac,all_residents_change,residents_fully_vac_change,residents_part_vac_change,recent_pct_fully_vac_change,pct_fully_vac_change
ALPINE NURSING HOME INC*,2021-09-12,54.0,54.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVALON NURSING HOME INC,2021-09-12,29.0,29.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
BALLOULIFE COMMUNITIES,2021-09-12,23.0,22.0,0.0,0.95652,0.95652,0.0,1.0,-1.0,-1.0,0.0,0.0,-0.0018099999999999783
BANNISTER CTR FOR REHABILITATION AND HEALTH CARE,2021-09-12,81.0,67.0,2.0,0.8271599999999999,0.8271599999999999,0.02469,14.0,0.0,0.0,0.0,0.0,0.0
BAYBERRY COMMONS,2021-09-12,84.0,81.0,1.0,0.96429,0.96429,0.011899999999999999,3.0,3.0,3.0,0.0,0.0,0.0013299999999999423
BETHANY HOME OF RHODE ISLAND*,2021-09-12,34.0,33.0,0.0,0.97059,0.97059,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BRENTWOOD NURSING HOME*,2021-09-12,84.0,81.0,1.0,0.96429,0.96429,0.011899999999999999,3.0,0.0,0.0,0.0,0.0,0.0
BRIARCLIFFE MANOR*,2021-09-12,99.0,92.0,4.0,0.9292900000000001,0.9292900000000001,0.0404,7.0,0.0,0.0,0.0,0.0,0.0
CEDAR CREST NURSING CENTRE INC,2021-09-12,138.0,135.0,1.0,0.9782599999999999,0.9782599999999999,0.0072499999999999995,3.0,7.0,7.0,0.0,0.0,0.0011599999999999389
CHARLESGATE NURSING CENTER,2021-09-12,78.0,78.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
CHERRY HILL MANOR,2021-09-12,140.0,132.0,0.0,0.94286,0.94286,0.0,8.0,-4.0,-2.0,0.0,0.0,0.012300000000000089
