week_ending,all_residents,residents_fully_vac,residents_part_vac,not_vac,percent_fully
2021-05-30,3568.0,3168.0,118.0,400.0,0.8878923766816144
2021-06-06,5120.0,4588.0,123.0,532.0,0.89609375
2021-06-13,5901.0,5181.0,143.0,720.0,0.8779867819013727
2021-06-20,5995.0,5334.0,119.0,661.0,0.8897414512093411
2021-06-27,5921.0,5322.0,136.0,599.0,0.898834656308056
2021-07-04,5993.0,5470.0,81.0,523.0,0.9127315201067913
2021-07-11,5962.0,5461.0,65.0,501.0,0.9159677960415967
2021-07-18,6008.0,5511.0,69.0,497.0,0.9172769640479361
2021-07-25,6044.0,5522.0,88.0,522.0,0.913633355393779
2021-08-01,6049.0,5545.0,80.0,504.0,0.9166804430484378
2021-08-08,6046.0,5460.0,174.0,586.0,0.9030764141581211
2021-08-15,5979.0,5513.0,87.0,466.0,0.9220605452416792
2021-08-22,5979.0,5522.0,76.0,457.0,0.9235658136812176
2021-08-29,5973.0,5522.0,71.0,451.0,0.9244935543278084
2021-09-05,5976.0,5564.0,71.0,412.0,0.9310575635876841
2021-09-12,5963.0,5540.0,70.0,423.0,0.9290625524065068
