provider_name,week_ending,all_employees,employees_fully_vac,employees_part_vac,recent_pct_fully_vac,pct_fully_vac,pct_part_vac,not_vac,all_employees_change,employees_fully_vac_change,employees_part_vac_change,recent_pct_fully_vac_change,pct_fully_vac_change
ALPINE NURSING HOME INC*,2021-09-12,73.0,58.0,6.0,0.79452,0.79452,0.08219,15.0,0.0,0.0,0.0,0.0,0.0
AVALON NURSING HOME INC,2021-09-12,35.0,31.0,0.0,0.88571,0.88571,0.0,4.0,0.0,1.0,0.0,0.0,0.028569999999999984
BALLOULIFE COMMUNITIES,2021-09-12,76.0,62.0,5.0,0.8157899999999999,0.8157899999999999,0.06579,14.0,-13.0,-13.0,3.0,0.0,-0.0269100000000001
BANNISTER CTR FOR REHABILITATION AND HEALTH CARE,2021-09-12,130.0,84.0,6.0,0.64615,0.64615,0.046150000000000004,46.0,0.0,-1.0,0.0,0.0,-0.00770000000000004
BAYBERRY COMMONS,2021-09-12,115.0,89.0,6.0,0.7739100000000001,0.7739100000000001,0.052169999999999994,26.0,0.0,0.0,0.0,0.0,0.0
BETHANY HOME OF RHODE ISLAND*,2021-09-12,57.0,47.0,9.0,0.8245600000000001,0.8245600000000001,0.15789,10.0,0.0,0.0,0.0,0.0,0.0
BRENTWOOD NURSING HOME*,2021-09-12,120.0,106.0,4.0,0.88333,0.88333,0.03333,14.0,0.0,0.0,0.0,0.0,0.0
BRIARCLIFFE MANOR*,2021-09-12,177.0,152.0,23.0,0.8587600000000001,0.8587600000000001,0.12994,25.0,0.0,0.0,0.0,0.0,0.0
CEDAR CREST NURSING CENTRE INC,2021-09-12,215.0,200.0,2.0,0.93023,0.93023,0.009300000000000001,15.0,0.0,0.0,0.0,0.0,0.0
CHARLESGATE NURSING CENTER,2021-09-12,141.0,121.0,7.0,0.85816,0.85816,0.04965,20.0,0.0,3.0,-2.0,0.0,0.021279999999999966
CHERRY HILL MANOR,2021-09-12,220.0,170.0,0.0,0.7727299999999999,0.7727299999999999,0.0,50.0,2.0,18.0,0.0,0.0,0.07547999999999999
CRA-MAR MEADOWS,2021-09-12,44.0,26.0,9.0,0.59091,0.59091,0.20454999999999998,18.0,-1.0,0.0,0.0,0.0,0.013130000000000086
"CRESTWOOD NURSING & REHABILITATION CENTER, INC",2021-09-12,68.0,53.0,9.0,0.77941,0.77941,0.13235,15.0,-5.0,-1.0,-1.0,0.0,0.03968000000000005
CRYSTAL LAKE REHABILITATION AND CARE CENTER*,2021-09-12,73.0,49.0,1.0,0.0,0.67123,0.0137,24.0,0.0,0.0,0.0,0.0,0.0
EASTGATE NURSING & REHABILITATION CENTER,2021-09-12,84.0,75.0,5.0,0.89286,0.89286,0.059519999999999997,9.0,3.0,2.0,-2.0,0.0,-0.0083700000000001
ELDERWOOD AT RIVERSIDE*,2021-09-12,54.0,52.0,2.0,0.96296,0.96296,0.037040000000000003,2.0,0.0,0.0,0.0,0.0,0.0
ELDERWOOD OF SCALLOP SHELL AT WAKEFIELD,2021-09-12,117.0,108.0,4.0,0.9230800000000001,0.9230800000000001,0.03419,9.0,-1.0,-1.0,1.0,0.0,-0.0006499999999999284
ELMHURST REHABILITATION & HEALTHCARE CENTER,2021-09-12,251.0,185.0,17.0,0.73705,0.73705,0.06773,66.0,0.0,0.0,0.0,0.0,0.0
ELMWOOD NURSING AND REHABILITATION CENTER,2021-09-12,56.0,41.0,3.0,0.73214,0.73214,0.05357,15.0,0.0,-1.0,1.0,0.0,-0.017859999999999987
EVERGREEN HOUSE HEALTH CENTER,2021-09-12,194.0,153.0,12.0,0.78866,0.78866,0.06186,41.0,0.0,0.0,0.0,0.0,0.0
FRIENDLY HOME INC THE,2021-09-12,164.0,133.0,14.0,0.81098,0.81098,0.08537,31.0,0.0,0.0,0.0,0.0,0.0
GOLDEN CREST NURSING CENTRE,2021-09-12,174.0,146.0,27.0,0.83908,0.83908,0.15517,28.0,-1.0,-1.0,0.0,0.0,-0.0009199999999999209
GRACE BARKER NURSING CENTER,2021-09-12,156.0,135.0,3.0,0.8653799999999999,0.8653799999999999,0.01923,21.0,-1.0,-1.0,-1.0,0.0,-0.0008599999999999719
GRAND ISLANDER CENTER*,2021-09-12,158.0,143.0,11.0,0.90506,0.90506,0.06962,15.0,0.0,0.0,0.0,0.0,0.0
GRANDVIEW CENTER*,2021-09-12,87.0,71.0,12.0,0.81609,0.81609,0.13793,16.0,0.0,0.0,0.0,0.0,0.0
GREENVILLE SKILLED NURSING AND REHABILITATION*,2021-09-12,131.0,102.0,22.0,0.77863,0.77863,0.16794,29.0,0.0,0.0,0.0,0.0,0.0
GREENWOOD CENTER*,2021-09-12,131.0,106.0,21.0,0.80916,0.80916,0.16030999999999998,25.0,0.0,0.0,0.0,0.0,0.0
HARRIS HEALTH CARE CENTER NORTH*,2021-09-12,40.0,0.0,1.0,0.0,0.0,0.025,40.0,0.0,0.0,0.0,0.0,0.0
HARRIS HEALTH CENTER LLC*,2021-09-12,36.0,28.0,5.0,0.77778,0.77778,0.13888999999999999,8.0,0.0,0.0,0.0,0.0,0.0
HATTIE IDE CHAFFEE HOME,2021-09-12,116.0,89.0,4.0,0.76724,0.76724,0.03448,27.0,13.0,13.0,0.0,0.0,0.029380000000000073
HEATHERWOOD REHABILITATION & HEALTH CARE CENTER,2021-09-12,134.0,109.0,3.0,0.81343,0.81343,0.02239,25.0,4.0,6.0,1.0,0.0,0.021120000000000028
HEBERT NURSING HOME*,2021-09-12,109.0,68.0,0.0,0.62385,0.62385,0.0,41.0,0.0,0.0,0.0,0.0,0.0
HERITAGE HILLS NURSING & REHABILITATION CENTER,2021-09-12,117.0,111.0,2.0,0.94872,0.94872,0.01709,6.0,0.0,9.0,2.0,0.0,0.07692999999999994
HOLIDAY RETIREMENT HOME INC*,2021-09-12,177.0,158.0,8.0,0.89266,0.89266,0.0452,19.0,0.0,0.0,0.0,0.0,0.0
JEANNE JUGAN RESIDENCE,2021-09-12,131.0,106.0,12.0,0.80916,0.80916,0.0916,25.0,0.0,-4.0,6.0,0.0,-0.030529999999999946
JOHN CLARKE RETIREMENT CENTER THE,2021-09-12,103.0,75.0,6.0,0.72816,0.72816,0.05825,28.0,3.0,-6.0,-1.0,0.0,-0.08184000000000002
KENT REGENCY CENTER*,2021-09-12,184.0,159.0,20.0,0.86413,0.86413,0.10869999999999999,25.0,0.0,0.0,0.0,0.0,0.0
KINGSTON CENTER FOR REHABILITATION AND HEALTH CARE,2021-09-12,48.0,37.0,8.0,0.77083,0.77083,0.16667,11.0,-2.0,0.0,-1.0,0.0,0.030830000000000024
LINCOLNWOOD REHABILITATION AND HEALTHCARE CENTER,2021-09-12,148.0,120.0,5.0,0.81081,0.81081,0.033780000000000004,28.0,0.0,2.0,-1.0,0.0,0.013510000000000022
LINN HEALTH AND REHABILITATION,2021-09-12,154.0,127.0,13.0,0.8246800000000001,0.8246800000000001,0.08442,27.0,2.0,1.0,9.0,0.0,-0.004269999999999885
MANSION NURSING AND REHAB CENTER,2021-09-12,80.0,73.0,0.0,0.9125,0.9125,0.0,7.0,0.0,0.0,0.0,0.0,0.0
MORGAN HEALTH CENTER,2021-09-12,129.0,99.0,21.0,0.76744,0.76744,0.16279,30.0,0.0,0.0,2.0,0.0,0.0
MOUNT ST RITA HEALTH CENTRE,2021-09-12,115.0,107.0,6.0,0.9304300000000001,0.9304300000000001,0.052169999999999994,8.0,0.0,10.0,-7.0,0.0,0.08695000000000008
OAK HILL HEALTH & REHABILITATION CENTER,2021-09-12,101.0,64.0,9.0,0.63366,0.63366,0.08911,37.0,-3.0,2.0,-2.0,0.0,0.03750999999999993
ORCHARD VIEW MANOR,2021-09-12,221.0,171.0,32.0,0.77376,0.77376,0.1448,50.0,1.0,6.0,9.0,0.0,0.023760000000000003
OVERLOOK NURSING AND REHABILITATION CENTER,2021-09-12,114.0,110.0,2.0,0.96491,0.96491,0.01754,4.0,2.0,4.0,2.0,0.0,0.018480000000000052
PAWTUCKET FALLS HEALTHCARE CENTER*,2021-09-12,121.0,103.0,9.0,0.85124,0.85124,0.07438,18.0,0.0,0.0,0.0,0.0,0.0
RESPIRATORY AND REHABILITATION CENTER OF RI*,2021-09-12,206.0,171.0,31.0,0.8301000000000001,0.8301000000000001,0.15048999999999998,35.0,0.0,0.0,0.0,0.0,0.0
RIVERVIEW HEALTHCARE COMMUNITY,2021-09-12,181.0,152.0,14.0,0.83978,0.83978,0.07735,29.0,-1.0,3.0,-6.0,0.0,0.021100000000000008
ROBERTS HEALTH CENTRE INC,2021-09-12,96.0,89.0,6.0,0.92708,0.92708,0.0625,7.0,1.0,1.0,0.0,0.0,0.0007599999999999829
ROYAL MIDDLETOWN NURSING CENTER*,2021-09-12,57.0,53.0,1.0,0.0,0.92982,0.01754,4.0,0.0,0.0,0.0,0.0,0.0
ROYAL OF WESTERLY NURSING CENTER*,2021-09-12,73.0,64.0,5.0,0.8767100000000001,0.8767100000000001,0.06849,9.0,0.0,0.0,0.0,0.0,0.0
SAINT ELIZABETH HOME EAST GREENWICH,2021-09-12,293.0,238.0,0.0,0.81229,0.81229,0.0,55.0,0.0,9.0,0.0,0.0,0.03071999999999997
SCALABRINI VILLA,2021-09-12,79.0,64.0,15.0,0.81013,0.81013,0.18986999999999998,15.0,-9.0,1.0,6.0,0.0,0.09422000000000008
SCANDINAVIAN HOME INC,2021-09-12,93.0,75.0,13.0,0.80645,0.80645,0.13978,18.0,1.0,13.0,2.0,0.0,0.13254
SILVER CREEK REHAB & HEALTHCARE CENTER*,2021-09-12,93.0,67.0,9.0,0.72043,0.72043,0.09677,26.0,0.0,0.0,0.0,0.0,0.0
SOUTH COUNTY NURSING & REHABILITATION CENTER*,2021-09-12,78.0,67.0,10.0,0.85897,0.85897,0.12821,11.0,0.0,0.0,0.0,0.0,0.0
SOUTH KINGSTOWN NURSING AND REHAB CTR,2021-09-12,143.0,123.0,3.0,0.8601399999999999,0.8601399999999999,0.02098,20.0,0.0,2.0,1.0,0.0,0.013989999999999947
