week_ending,all_employees,employees_fully_vac,employees_part_vac,not_vac,percent_fully
2021-05-30,5671.0,4134.0,163.0,1537.0,0.7289719626168224
2021-06-06,7973.0,5568.0,378.0,2405.0,0.6983569547221874
2021-06-13,8725.0,6271.0,226.0,2454.0,0.7187392550143267
2021-06-20,8812.0,6476.0,181.0,2336.0,0.7349069450748978
2021-06-27,8816.0,6535.0,179.0,2281.0,0.7412658802177858
2021-07-04,8653.0,6450.0,147.0,2203.0,0.7454062174968219
2021-07-11,8771.0,6458.0,136.0,2313.0,0.736290046744955
2021-07-18,8559.0,6328.0,117.0,2231.0,0.7393387077929665
2021-07-25,8583.0,6518.0,127.0,2065.0,0.7594081323546545
2021-08-01,8778.0,6662.0,105.0,2116.0,0.7589428115743905
2021-08-08,8695.0,6639.0,109.0,2056.0,0.7635422656699252
2021-08-15,8794.0,6700.0,136.0,2094.0,0.7618831021150785
2021-08-22,8761.0,6811.0,256.0,1950.0,0.7774226686451319
2021-08-29,8746.0,6722.0,397.0,2024.0,0.7685799222501715
2021-09-05,8750.0,7039.0,610.0,1711.0,0.8044571428571429
2021-09-12,8731.0,7150.0,640.0,1581.0,0.8189210857862788
