shortage_of_nursing_staff,shortage_of_clinical_staff,shortage_of_aides,shortage_of_other_staff,total positions short
19,4,28,17,68
22,2,28,18,70
17,0,23,13,53
18,4,23,15,60
15,0,19,9,43
14,0,19,9,42
13,0,17,8,38
13,2,19,7,41
12,2,20,10,44
13,1,20,7,41
13,2,20,7,42
14,1,20,5,40
12,0,20,6,38
13,2,18,7,40
12,2,18,6,38
14,1,19,6,40
12,2,17,5,36
12,2,18,4,36
15,3,19,6,43
18,2,22,7,49
16,3,21,8,48
17,3,22,8,50
16,2,22,6,46
16,4,22,10,52
17,2,20,9,48
20,2,25,8,55
23,2,26,8,59
20,2,24,8,54
20,1,23,9,53
18,2,22,8,50
17,4,24,9,54
21,5,23,12,61
17,2,21,8,48
