week_ending,residents_total_confirmed_covid_19,staff_total_confirmed_covid_19
2020-05-24,1198.0,612.0
2020-05-31,1289.0,659.0
2020-06-07,1404.0,720.0
2020-06-14,1465.0,744.0
2020-06-21,1533.0,768.0
2020-06-28,1556.0,788.0
2020-07-05,1568.0,805.0
2020-07-12,1568.0,836.0
2020-07-19,1576.0,876.0
2020-07-26,1606.0,897.0
2020-08-02,1623.0,925.0
2020-08-09,1638.0,943.0
2020-08-16,1660.0,961.0
2020-08-23,1652.0,977.0
2020-08-30,1692.0,1014.0
2020-09-06,1711.0,1033.0
2020-09-13,1754.0,1058.0
2020-09-20,1795.0,1086.0
2020-09-27,1861.0,1116.0
2020-10-04,1904.0,1138.0
2020-10-11,1930.0,1163.0
2020-10-18,1951.0,1186.0
2020-10-25,1967.0,1214.0
2020-11-01,2012.0,1267.0
2020-11-08,2137.0,1352.0
2020-11-15,2291.0,1513.0
2020-11-22,2442.0,1658.0
2020-11-29,2598.0,1823.0
2020-12-06,2888.0,2074.0
2020-12-13,3108.0,2265.0
2020-12-20,3324.0,2392.0
2020-12-27,3545.0,2552.0
2021-01-03,3681.0,2697.0
2021-01-10,3813.0,2873.0
2021-01-17,3930.0,2997.0
2021-01-24,4075.0,3102.0
2021-01-31,4131.0,3155.0
2021-02-07,4189.0,3185.0
2021-02-14,4233.0,3218.0
2021-02-21,4247.0,3237.0
2021-02-28,4261.0,3258.0
2021-03-07,4274.0,3285.0
2021-03-14,4297.0,3305.0
2021-03-21,4293.0,3308.0
2021-03-28,4306.0,3328.0
2021-04-04,4309.0,3340.0
2021-04-11,4312.0,3356.0
2021-04-18,4319.0,3379.0
2021-04-25,4329.0,3394.0
2021-05-02,4346.0,3408.0
2021-05-09,4356.0,3423.0
2021-05-16,4358.0,3426.0
2021-05-23,4358.0,3431.0
2021-05-30,4360.0,3434.0
2021-06-06,4361.0,3437.0
2021-06-13,4363.0,3439.0
2021-06-20,4364.0,3441.0
2021-06-27,4350.0,3433.0
2021-07-04,4350.0,3433.0
2021-07-11,4348.0,3415.0
2021-07-18,4349.0,3418.0
2021-07-25,4350.0,3421.0
2021-08-01,4351.0,3427.0
2021-08-08,4355.0,3444.0
2021-08-15,4363.0,3452.0
2021-08-22,4372.0,3470.0
2021-08-29,4388.0,3486.0
2021-09-05,4399.0,3514.0
