week_ending,residents_total_all_deaths,residents_total_covid_19_deaths,%_total_covid
2020-05-24,534.0,303.0,0.5674157303370787
2020-05-31,645.0,376.0,0.5829457364341085
2020-06-07,709.0,415.0,0.5853314527503526
2020-06-14,767.0,432.0,0.5632333767926988
2020-06-21,806.0,453.0,0.5620347394540943
2020-06-28,860.0,466.0,0.541860465116279
2020-07-05,896.0,477.0,0.5323660714285714
2020-07-12,922.0,485.0,0.5260303687635575
2020-07-19,946.0,492.0,0.5200845665961945
2020-07-26,968.0,496.0,0.512396694214876
2020-08-02,998.0,498.0,0.49899799599198397
2020-08-09,1021.0,501.0,0.49069539666993145
2020-08-16,1059.0,505.0,0.4768649669499528
2020-08-23,1083.0,502.0,0.46352723915050786
2020-08-30,1114.0,506.0,0.4542190305206463
2020-09-06,1145.0,510.0,0.44541484716157204
2020-09-13,1183.0,513.0,0.43364327979712597
2020-09-20,1205.0,514.0,0.42655601659751036
2020-09-27,1239.0,522.0,0.4213075060532688
2020-10-04,1272.0,526.0,0.41352201257861637
2020-10-11,1300.0,533.0,0.41
2020-10-18,1340.0,547.0,0.4082089552238806
2020-10-25,1384.0,553.0,0.3995664739884393
2020-11-01,1411.0,558.0,0.39546420978029767
2020-11-08,1450.0,566.0,0.3903448275862069
2020-11-15,1494.0,578.0,0.3868808567603748
2020-11-22,1557.0,603.0,0.3872832369942196
2020-11-29,1611.0,634.0,0.393544382371198
2020-12-06,1680.0,662.0,0.39404761904761904
2020-12-13,1787.0,728.0,0.40738668158925573
2020-12-20,1871.0,785.0,0.4195617316942811
2020-12-27,1945.0,825.0,0.4241645244215938
2021-01-03,1997.0,847.0,0.4241362043064597
2021-01-10,2070.0,874.0,0.4222222222222222
2021-01-17,2139.0,904.0,0.42262739597942967
2021-01-24,2191.0,928.0,0.42355089000456414
2021-01-31,2235.0,943.0,0.42192393736017897
2021-02-07,2284.0,960.0,0.4203152364273205
2021-02-14,2331.0,971.0,0.4165594165594166
2021-02-21,2367.0,982.0,0.4148711449091677
2021-02-28,2404.0,987.0,0.41056572379367723
2021-03-07,2440.0,989.0,0.40532786885245903
2021-03-14,2484.0,991.0,0.39895330112721417
2021-03-21,2516.0,991.0,0.393879173290938
2021-03-28,2540.0,991.0,0.3901574803149606
2021-04-04,2566.0,991.0,0.3862042088854248
2021-04-11,2594.0,991.0,0.382035466461064
2021-04-18,2627.0,992.0,0.3776170536733917
2021-04-25,2654.0,992.0,0.373775433308214
2021-05-02,2681.0,992.0,0.3700111898545319
2021-05-09,2708.0,992.0,0.3663220088626292
2021-05-16,2729.0,992.0,0.36350311469402713
2021-05-23,2763.0,992.0,0.35903003981179876
2021-05-30,2818.0,993.0,0.35237757274662884
2021-06-06,2842.0,993.0,0.3494018296973962
2021-06-13,2866.0,993.0,0.34647592463363575
2021-06-20,2890.0,993.0,0.343598615916955
2021-06-27,2914.0,991.0,0.3400823610157859
2021-07-04,2940.0,991.0,0.3370748299319728
2021-07-11,2955.0,991.0,0.3353637901861252
2021-07-18,2984.0,991.0,0.3321045576407507
2021-07-25,3012.0,991.0,0.3290172642762284
2021-08-01,3040.0,991.0,0.32598684210526313
2021-08-08,3076.0,991.0,0.32217165149544863
2021-08-15,3109.0,991.0,0.3187520102926986
2021-08-22,3155.0,992.0,0.3144215530903328
2021-08-29,3186.0,992.0,0.3113622096672944
2021-09-05,3215.0,992.0,0.30855365474339036
