week_ending,shortage_of_nursing_staff,shortage_of_clinical_staff,shortage_of_aides,shortage_of_other_staff,total_providers_reporting,change_nursing_staff,change_clinical_staff,change_aides,change_other_staff,%_short_nursing_staff,%_short_clinical_staff,%_short_aides,%_short_other_staff
2020-05-24,19,4,28,18,76,0.0,0.0,0.0,0.0,0.25,0.05263157894736842,0.3684210526315789,0.23684210526315788
2020-05-31,22,2,28,18,76,3.0,-2.0,0.0,0.0,0.2894736842105263,0.02631578947368421,0.3684210526315789,0.23684210526315788
2020-06-07,17,0,23,13,77,-5.0,-2.0,-5.0,-5.0,0.22077922077922077,0.0,0.2987012987012987,0.16883116883116883
2020-06-14,17,3,22,14,77,0.0,3.0,-1.0,1.0,0.22077922077922077,0.03896103896103896,0.2857142857142857,0.18181818181818182
2020-06-21,15,0,18,9,77,-2.0,-3.0,-4.0,-5.0,0.19480519480519481,0.0,0.23376623376623376,0.11688311688311688
2020-06-28,14,0,18,9,76,-1.0,0.0,0.0,0.0,0.18421052631578946,0.0,0.23684210526315788,0.11842105263157894
2020-07-05,13,0,16,8,77,-1.0,0.0,-2.0,-1.0,0.16883116883116883,0.0,0.2077922077922078,0.1038961038961039
2020-07-12,13,2,18,7,77,0.0,2.0,2.0,-1.0,0.16883116883116883,0.025974025974025976,0.23376623376623376,0.09090909090909091
2020-07-19,12,2,19,10,76,-1.0,0.0,1.0,3.0,0.15789473684210525,0.02631578947368421,0.25,0.13157894736842105
2020-07-26,13,1,19,7,77,1.0,-1.0,0.0,-3.0,0.16883116883116883,0.012987012987012988,0.24675324675324675,0.09090909090909091
2020-08-02,13,2,19,7,77,0.0,1.0,0.0,0.0,0.16883116883116883,0.025974025974025976,0.24675324675324675,0.09090909090909091
2020-08-09,13,1,19,5,77,0.0,-1.0,0.0,-2.0,0.16883116883116883,0.012987012987012988,0.24675324675324675,0.06493506493506493
2020-08-16,11,0,19,6,77,-2.0,-1.0,0.0,1.0,0.14285714285714285,0.0,0.24675324675324675,0.07792207792207792
2020-08-23,12,2,17,7,75,1.0,2.0,-2.0,1.0,0.16,0.02666666666666667,0.22666666666666666,0.09333333333333334
2020-08-30,12,2,17,6,76,0.0,0.0,0.0,-1.0,0.15789473684210525,0.02631578947368421,0.2236842105263158,0.07894736842105263
2020-09-06,14,1,18,6,76,2.0,-1.0,1.0,0.0,0.18421052631578946,0.013157894736842105,0.23684210526315788,0.07894736842105263
2020-09-13,12,2,16,5,76,-2.0,1.0,-2.0,-1.0,0.15789473684210525,0.02631578947368421,0.21052631578947367,0.06578947368421052
2020-09-20,12,2,17,4,76,0.0,0.0,1.0,-1.0,0.15789473684210525,0.02631578947368421,0.2236842105263158,0.05263157894736842
2020-09-27,15,3,18,6,76,3.0,1.0,1.0,2.0,0.19736842105263158,0.039473684210526314,0.23684210526315788,0.07894736842105263
2020-10-04,19,2,22,8,76,4.0,-1.0,4.0,2.0,0.25,0.02631578947368421,0.2894736842105263,0.10526315789473684
2020-10-11,17,3,20,8,76,-2.0,1.0,-2.0,0.0,0.2236842105263158,0.039473684210526314,0.2631578947368421,0.10526315789473684
2020-10-18,18,3,22,8,76,1.0,0.0,2.0,0.0,0.23684210526315788,0.039473684210526314,0.2894736842105263,0.10526315789473684
2020-10-25,16,2,21,6,76,-2.0,-1.0,-1.0,-2.0,0.21052631578947367,0.02631578947368421,0.27631578947368424,0.07894736842105263
