school,type,date,total_student_cases_avg,total_staff_cases_avg,chng_total_student_cases_avg,chng_total_staff_cases_avg
360 High School,in person,2021-01-13,7.0,0.0,0.0,0.0
360 High School,in person,2021-01-20,7.0,0.0,0.0,0.0
360 High School,in person,2021-01-27,7.0,0.0,0.0,0.0
360 High School,in person,2021-02-03,7.0,0.0,0.0,0.0
360 High School,in person,2021-02-10,7.0,0.0,0.0,0.0
360 High School,in person,2021-02-17,7.0,0.0,0.0,0.0
360 High School,in person,2021-02-24,7.0,0.0,0.0,0.0
360 High School,virtual,2021-01-13,7.0,0.0,0.0,0.0
360 High School,virtual,2021-01-20,7.0,0.0,0.0,0.0
360 High School,virtual,2021-01-27,7.0,0.0,0.0,0.0
360 High School,virtual,2021-02-03,7.0,0.0,0.0,0.0
360 High School,virtual,2021-02-10,7.0,0.0,0.0,0.0
360 High School,virtual,2021-02-17,7.0,0.0,0.0,0.0
360 High School,virtual,2021-02-24,7.0,0.0,0.0,0.0
A Venture Academy,in person,2021-01-13,0.0,0.0,0.0,0.0
A Venture Academy,in person,2021-01-20,0.0,0.0,0.0,0.0
A Venture Academy,in person,2021-01-27,0.0,0.0,0.0,0.0
A Venture Academy,in person,2021-02-03,0.0,0.0,0.0,0.0
A Venture Academy,in person,2021-02-10,0.0,0.0,0.0,0.0
A Venture Academy,in person,2021-02-17,0.0,0.0,0.0,0.0
A Venture Academy,in person,2021-02-24,0.0,0.0,0.0,0.0
AF Iluminar Mayoral Academy Middle School,virtual,2021-01-13,0.0,0.0,0.0,0.0
AF Iluminar Mayoral Academy Middle School,virtual,2021-01-20,0.0,0.0,0.0,0.0
AF Iluminar Mayoral Academy Middle School,virtual,2021-01-27,0.0,0.0,0.0,0.0
AF Iluminar Mayoral Academy Middle School,virtual,2021-02-03,0.0,0.0,0.0,0.0
AF Iluminar Mayoral Academy Middle School,virtual,2021-02-10,0.0,0.0,0.0,0.0
AF Iluminar Mayoral Academy Middle School,virtual,2021-02-17,0.0,0.0,0.0,0.0
AF Iluminar Mayoral Academy Middle School,virtual,2021-02-24,0.0,0.0,0.0,0.0
AF Providence Mayoral Academy Middle,in person,2021-01-13,0.0,0.0,0.0,0.0
AF Providence Mayoral Academy Middle,in person,2021-01-20,0.0,0.0,0.0,0.0
AF Providence Mayoral Academy Middle,in person,2021-01-27,0.0,0.0,0.0,0.0
AF Providence Mayoral Academy Middle,in person,2021-02-03,0.0,0.0,0.0,0.0
AF Providence Mayoral Academy Middle,in person,2021-02-10,0.0,0.0,0.0,0.0
AF Providence Mayoral Academy Middle,in person,2021-02-17,0.0,0.0,0.0,0.0
AF Providence Mayoral Academy Middle,in person,2021-02-24,0.0,0.0,0.0,0.0
Academy For Little Children,in person,2021-01-13,0.0,0.0,0.0,0.0
Academy For Little Children,in person,2021-01-20,0.0,0.0,0.0,0.0
Academy For Little Children,in person,2021-01-27,0.0,0.0,0.0,0.0
Academy For Little Children,in person,2021-02-03,0.0,0.0,0.0,0.0
Academy For Little Children,in person,2021-02-10,0.0,0.0,0.0,0.0
Academy For Little Children,in person,2021-02-17,0.0,0.0,0.0,0.0
Academy For Little Children,in person,2021-02-24,0.0,0.0,0.0,0.0
Achievement First Iluminar Mayoral Academy,in person,2021-01-13,0.0,0.0,0.0,0.0
Achievement First Iluminar Mayoral Academy,in person,2021-01-20,0.0,0.0,0.0,0.0
Achievement First Iluminar Mayoral Academy,in person,2021-01-27,0.0,0.0,0.0,0.0
Achievement First Iluminar Mayoral Academy,in person,2021-02-03,0.0,0.0,0.0,0.0
Achievement First Iluminar Mayoral Academy,in person,2021-02-10,0.0,0.0,0.0,0.0
Achievement First Iluminar Mayoral Academy,in person,2021-02-17,0.0,0.0,0.0,0.0
Achievement First Iluminar Mayoral Academy,in person,2021-02-24,0.0,0.0,0.0,0.0
Achievement First Iluminar Mayoral Academy,virtual,2021-01-13,12.0,0.0,0.0,0.0
Achievement First Iluminar Mayoral Academy,virtual,2021-01-20,12.0,0.0,0.0,0.0
Achievement First Iluminar Mayoral Academy,virtual,2021-01-27,17.0,0.0,5.0,0.0
Achievement First Iluminar Mayoral Academy,virtual,2021-02-03,17.0,0.0,0.0,0.0
Achievement First Iluminar Mayoral Academy,virtual,2021-02-10,17.0,0.0,0.0,0.0
Achievement First Iluminar Mayoral Academy,virtual,2021-02-17,17.0,0.0,0.0,0.0
Achievement First Iluminar Mayoral Academy,virtual,2021-02-24,17.0,0.0,0.0,0.0
Achievement First Promesa Elementary,in person,2021-01-13,0.0,0.0,0.0,0.0
Achievement First Promesa Elementary,in person,2021-01-20,0.0,0.0,0.0,0.0
Achievement First Promesa Elementary,in person,2021-01-27,0.0,0.0,0.0,0.0
Achievement First Promesa Elementary,in person,2021-02-03,0.0,0.0,0.0,0.0
Achievement First Promesa Elementary,in person,2021-02-10,0.0,0.0,0.0,0.0
Achievement First Promesa Elementary,in person,2021-02-17,0.0,0.0,0.0,0.0
Achievement First Promesa Elementary,in person,2021-02-24,0.0,0.0,0.0,0.0
Achievement First Promesa Elementary,virtual,2021-01-13,0.0,0.0,0.0,0.0
Achievement First Promesa Elementary,virtual,2021-01-20,0.0,0.0,0.0,0.0
Achievement First Promesa Elementary,virtual,2021-01-27,7.0,0.0,7.0,0.0
Achievement First Promesa Elementary,virtual,2021-02-03,7.0,0.0,0.0,0.0
Achievement First Promesa Elementary,virtual,2021-02-10,7.0,0.0,0.0,0.0
Achievement First Promesa Elementary,virtual,2021-02-17,7.0,0.0,0.0,0.0
Achievement First Promesa Elementary,virtual,2021-02-24,7.0,0.0,0.0,0.0
Achievement First Providence Mayoral Academy,in person,2021-01-13,12.0,0.0,0.0,0.0
Achievement First Providence Mayoral Academy,in person,2021-01-20,12.0,0.0,0.0,0.0
