school,total_student_cases_avg,chng_total_student_cases_avg,total_staff_cases_avg,chng_total_staff_cases_avg
360 High School,12,0,0,0
AF Iluminar Mayoral Academy Middle School,0,0,0,0
AF Providence Mayoral Academy Middle,0,0,0,0
Achievement First Iluminar Mayoral Academy,27,0,0,0
Achievement First Promesa Elementary,12,0,0,0
Achievement First Providence Mayoral Academy,67,0,7,0
Agnes B. Hennessey School,12,0,0,0
Agnes E. Little School,12,0,0,0
Alan Shawn Feinstein Elementary School at Broad Street,17,0,0,0
Alan Shawn Feinstein Middle School Of Coventry,32,0,7,0
Alfred Lima Sr. Elementary School,12,0,0,0
Alice M. Waddington School,7,0,0,0
Anna M. McCabe School,0,0,0,0
Anthony Carnevale Elementary School,17,0,0,0
Aquidneck Elementary School,0,0,0,0
Archie R. Cole Middle School,7,0,0,0
Arlington School,7,0,0,0
Asa Messer Elementary School,12,0,0,0
Ashaway Elementary School,0,0,0,0
Ashton School,12,0,0,0
Austin T. Levy School,0,0,0,0
B.F. Norton Elementary School,7,0,0,0
BEACON Charter School,17,0,0,0
Barrington Christian Academy,0,0,0,0
"Barrington Early Childhood Center, Inc.",0,0,0,0
Barrington High School,47,0,0,0
Barrington Middle School,7,0,0,0
Bernon Heights School,12,0,0,0
Birchwood Middle School,12,0,0,0
Bishop Hendricken High School,32,0,0,0
Bishop McVinney Regional School,0,0,0,0
Blackrock School,7,0,0,0
Blackstone Academy Charter School,37,0,0,0
Blackstone Valley Prep Elementary 2 School (ES2),17,0,0,0
Blackstone Valley Prep Elementary 3 School (ES3),12,0,0,0
Blackstone Valley Prep Elementary School (ES1),37,0,0,0
Blackstone Valley Prep High School (HS),37,0,0,0
Blackstone Valley Prep Junior High School (JHS),12,0,0,0
Blackstone Valley Prep Upper Elementary School (UES),17,0,0,0
Blessed Sacrament School,0,0,0,0
Block Island School,0,0,0,0
Bradley School Providence,0,0,0,0
Broad Rock Middle School,12,0,0,0
Brown Avenue School,7,0,0,0
Burrillville High School,32,0,0,0
Burrillville Middle School,27,0,0,0
"CHILD, Inc., Centerville Road",0,0,0,0
Captain G. Harold Hunt Elementary School,0,0,0,0
Captain Isaac Paine Elementary School,0,0,0,0
Carl G. Lauro Elementary School,12,0,0,0
Cedar Hill School,7,0,0,0
Center for Individualized Training and Education,0,0,0,0
Central Falls Senior High School,67,0,0,0
Central High School,62,5,0,0
Centredale School,7,0,0,0
Charette Charter School,17,0,0,0
Chariho Area Career and Technical Center,0,0,0,0
Chariho Regional High School,37,0,0,0
Chariho Regional Middle School,7,0,0,0
Charles E. Shea High School,72,0,7,0
Charles N. Fortes Elementary School,7,0,0,0
Charlestown Elementary School,7,0,0,0
Claiborne Pell Elementary School,12,0,0,0
Classical High School,42,0,0,0
Clayville Elementary School,7,0,0,0
Colt Andrews School,0,0,0,0
Community Preparatory School,7,0,0,0
Community School,17,0,0,0
Cornerstone School,0,0,0,0
Cottrell F. Hoxsie School,0,0,0,0
Coventry High School,52,0,7,0
Cranston High School East,142,0,7,0
Cranston High School West,137,0,0,0
Cranston Transition Program(CTP),0,0,0,0
Cumberland High School,67,0,0,0
Curtis Corner Middle School,17,0,0,0
Curvin-McCabe School,22,0,0,0
Daniel D. Waterman School,12,0,0,0
Davisville Academy,0,0,0,0
Davisville Middle School,0,0,0,0
Day Spring Christian Academy,0,0,0,0
Dr. Earl F. Calcutt Middle School,42,0,0,0
Dr. Edward A. Ricci Middle School,12,0,0,0
Dr. Jorge Alvarez High School,32,0,0,0
Dr. Joseph A Whelan Elementary School,7,0,0,0
"Dr. Martin Luther King, Jr. Elementary School",12,0,0,0
Dunn's Corners School,0,0,0,0
E-Cubed Academy,12,0,0,0
E. G. Robertson School,0,0,0,0
E.T. Wyman Elementary School,7,0,0,0
Early Childhood Center,0,0,0,0
East Greenwich High School,17,0,0,0
East Providence High School,92,0,7,0
East Side Nursery School,0,0,0,0
Eden Park School,7,0,0,0
Edgewood Highland School,12,0,0,0
Edward R. Martin Middle School,27,0,0,0
